Taxon	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.1.Even1
Unassigned;Other;Other;Other	1.73572087525e-06	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0458074096188	0.0444024116056	0.00379989635423	0.00335596918648
k__Bacteria;Other;Other;Other	0.000225643713783	0.000165319031527	0.000616490446417	0.000456312250325
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	5.90145097587e-05	9.12105001528e-05	0.0141092857191	0.0125181660672
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.00035842636074	0.000356861081848	0.0450495682548	0.0438211864395
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other	8.76539042004e-05	9.91914189161e-05	8.48010876076e-05	6.49899265614e-05
k__Bacteria;p__Firmicutes;c__Bacilli;Other	0.0709319692882	0.0709686099064	0.0788273221028	0.0776657277696
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.596772079888	0.613435078646	0.430650881999	0.428491030699
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.105701062001	0.101241374907	0.0851147170268	0.0863093880023
k__Bacteria;p__Firmicutes;c__Clostridia;Other	1.73572087525e-06	1.14013125191e-06	0.0	1.38276439492e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0182745372351	0.0181748322867	0.0272467240532	0.0241098799899
k__Bacteria;p__Proteobacteria;Other;Other	0.000202211481967	0.000153917719008	0.000123836508887	6.36071621665e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	0.000208286505031	0.000209784150351	4.1727519299e-05	3.18035810832e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	1.73572087525e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	3.64501383803e-05	2.5082887542e-05	2.69209801929e-06	4.14829318477e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0748520948849	0.0714577262134	0.0102124738362	0.0111409327299
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	8.67860437627e-07	0.0	5.38419603858e-06	4.14829318477e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	8.67860437627e-07	2.28026250382e-06	4.03814702893e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.00132175144651	0.00138525947107	0.0210373999717	0.019456877801
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	0.0	0.0	1.34604900964e-06	1.38276439492e-06
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;Other	0.0	2.28026250382e-06	8.07629405787e-06	2.76552878985e-06
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.00150660571972	0.00164406926525	0.0247498031403	0.0248690176427
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000137989809583	0.000142516406489	6.46103524629e-05	6.22243977715e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.0555552180543	0.0496071107706	0.00866047932805	0.00807396130196
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0273167751348	0.025693997893	0.173131515718	0.193212286138
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	2.77715340041e-05	4.78855125802e-05	1.07683920772e-05	1.38276439492e-06
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	0.000610105887652	0.000687499144902	0.0764461614047	0.0662814285062
