Taxon	MockMiSeq.even
Unassigned;Other;Other;Other	4.21089864788e-05
k__Bacteria;Other;Other;Other	0.0063584569583
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0486569338763
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales	0.00266128794546
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.30878098695
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	4.21089864788e-05
k__Bacteria;p__Firmicutes;Other;Other	1.26326959436e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.26326959436e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0878225022002
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.381023164153
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae;o__Victivallales	0.000400035371549
k__Bacteria;p__Proteobacteria;Other;Other	1.26326959436e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	4.21089864788e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000286341108056
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.120393803242
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.000627423898534
k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales	3.3687189183e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0427911520598
