Taxon	Even1	Even2	Even3
Unclassified;Other	6.99976200809e-06	4.34816637824e-05	0.000140422046261
k__Archaea;Other	6.99976200809e-06	0.000130444991347	0.000187229395015
k__Archaea;p__Crenarchaeota	3.49988100405e-05	0.0	4.68073487538e-05
k__Archaea;p__Euryarchaeota	1.39995240162e-05	6.08743292953e-05	9.36146975075e-05
k__Archaea;p__[Parvarchaeota]	6.99976200809e-06	0.0	7.80122479229e-06
k__Bacteria;Other	0.00135095406756	0.00426989938343	0.00363537075321
k__Bacteria;p__Acidobacteria	0.000608979294704	0.000156533989617	0.000124819596677
k__Bacteria;p__Actinobacteria	0.0891489689351	0.0825455905245	0.0858368763896
k__Bacteria;p__Armatimonadetes	6.99976200809e-06	8.69633275648e-06	1.56024495846e-05
k__Bacteria;p__Bacteroidetes	0.259264185018	0.260298632067	0.246737137731
k__Bacteria;p__Caldithrix	1.39995240162e-05	0.0	7.80122479229e-06
k__Bacteria;p__Chloroflexi	0.000125995716146	2.60889982694e-05	1.56024495846e-05
k__Bacteria;p__Cyanobacteria	0.00165894359592	0.000347853310259	0.000873737176737
k__Bacteria;p__Firmicutes	0.453556579076	0.458235861937	0.467527401802
k__Bacteria;p__Fusobacteria	2.09992860243e-05	8.69633275648e-06	1.56024495846e-05
k__Bacteria;p__Gemmatimonadetes	1.39995240162e-05	0.0	1.56024495846e-05
k__Bacteria;p__Nitrospirae	0.000258991194299	3.47853310259e-05	0.0
k__Bacteria;p__Planctomycetes	0.000118995954138	4.34816637824e-05	0.0001014159223
k__Bacteria;p__Proteobacteria	0.19342442357	0.193302084511	0.194468931622
k__Bacteria;p__SAR406	6.99976200809e-06	0.0	7.80122479229e-06
k__Bacteria;p__Spirochaetes	0.0	8.69633275648e-06	7.80122479229e-06
k__Bacteria;p__Tenericutes	3.49988100405e-05	0.0	4.68073487538e-05
k__Bacteria;p__Verrucomicrobia	0.000286990242332	0.000478298301606	8.58134727152e-05
k__Bacteria;p__WPS-2	1.39995240162e-05	0.0	0.0
k__Bacteria;p__[Caldithrix]	1.39995240162e-05	0.0	0.0
