Taxon	Even4	Even1	Even3
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	8.85872983532e-06	1.33620171301e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.135022450289	0.128389571503	0.138524031588
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.059653624118	0.012047872576	0.0122930557597
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.0	1.77174596706e-05	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.178018154606	0.171983381023	0.170699768837
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	1.77174596706e-05	2.67240342602e-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.0	2.65761895059e-05	0.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	9.71873967384e-06	0.0	1.33620171301e-05
k__Bacteria;p__Firmicutes;c__Bacilli	0.0407701129318	0.0382519954289	0.0480765376341
k__Bacteria;p__Firmicutes;c__Clostridia	0.341895542986	0.385239584348	0.34761287564
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.108568040896	0.143475988413	0.151872686701
k__Bacteria;p__Proteobacteria;c__	9.71873967384e-06	8.85872983532e-06	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	1.94374793477e-05	0.0	2.67240342602e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.0	3.54349193413e-05	4.00860513903e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.136013761735	0.12046986703	0.130760699635
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	2.65761895059e-05	4.00860513903e-05
k__Bacteria;p__[Thermi];c__Deinococci	1.94374793477e-05	0.0	0.0
