#OTU ID	taxonomy	confidence	num hits
SH089592.07FU_GU258222_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactifluus;s__Lactifluus_leae	1.00	1
SH134264.07FU_FN907912_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae	1.00	2
SH129799.07FU_AY046210_refs	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces	1.00	3
SH099777.07FU_EU142914_reps	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae	0.80	5
SH076998.07FU_KF060297_reps	Unassigned	1.00	1
SH134298.07FU_GU139789_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucoagaricus	1.00	2
SH089224.07FU_JN197621_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_stuposa	1.00	2
SH115692.07FU_AY789384_reps	k__Fungi;p__Ascomycota	1.00	4
SH135576.07FU_UDB021482_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius	1.00	3
SH113137.07FU_FJ623599_refs	Unassigned	1.00	1
SH089969.07FU_FJ554393_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavaria	1.00	2
SH119423.07FU_U33081_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Lentinula	1.00	2
SH114612.07FU_AB510592_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	1.00	5
SH080689.07FU_JX414192_reps	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Pachyphlodes;s__Pachyphlodes_pfisteri	1.00	1
SH118604.07FU_EU852369_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	1.00	3
SH554034.07FU_DQ656618_reps	Unassigned	1.00	1
SH129807.07FU_JF907981_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Tulostoma;s__Tulostoma_domingueziae	1.00	1
SH104863.07FU_AY854085_refs	Unassigned	1.00	1
SH083959.07FU_HQ682657_reps	k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Pilobolaceae;g__Pilobolus;s__Pilobolus_lentiger	1.00	1
SH131682.07FU_JQ724360_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus;s__Pleurotus_giganteus	1.00	1
