Feature ID	Taxon	Confidence
SH096701.07FU_HM359013_reps	Unassigned	0.0
SH111440.07FU_UDB001790_reps	Unassigned	0.0
SH122981.07FU_FM205739_reps	Unassigned	0.0
SH539776.07FU_KJ938798_reps	Unassigned	0.0
SH079483.07FU_FN550931_refs	Unassigned	0.0
SH095994.07FU_JX010190_refs	Unassigned	0.0
SH087596.07FU_AY641432_reps	Unassigned	0.0
SH079336.07FU_AF335442_reps	Unassigned	0.0
SH093681.07FU_FJ820666_reps	Unassigned	0.0
SH078650.07FU_AY854078_refs	Unassigned	0.0
SH084176.07FU_JN084054_reps	Unassigned	0.0
SH115385.07FU_GU124738_refs	Unassigned	0.0
SH131198.07FU_FN396126_reps	Unassigned	0.0
SH135640.07FU_AY669548_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_boudieri	1.0
SH097832.07FU_AF444598_refs	Unassigned	0.0
SH109186.07FU_AF309604_refs	Unassigned	0.0
SH077358.07FU_JQ307937_reps	Unassigned	0.0
SH121213.07FU_JQ993727_reps	Unassigned	0.0
SH094736.07FU_JN197702_reps	Unassigned	0.0
SH093178.07FU_JQ724383_reps	Unassigned	0.0
SH077001.07FU_EU784376_reps	Unassigned	0.0
SH077806.07FU_KJ909289_reps	Unassigned	0.0
SH105704.07FU_JQ044435_reps	Unassigned	0.0
SH090546.07FU_AB537342_reps	Unassigned	0.0
SH121051.07FU_UDB000905_refs	Unassigned	0.0
SH080752.07FU_FJ860755_refs	Unassigned	0.0
SH133681.07FU_FJ890029_reps	Unassigned	0.0
SH094890.07FU_KC585365_reps	Unassigned	0.0
SH077054.07FU_AF432900_reps	Unassigned	0.0
SH128938.07FU_AY747075_reps	Unassigned	0.0
SH124065.07FU_EU681313_reps	Unassigned	0.0
SH100122.07FU_HM046875_refs	Unassigned	0.0
SH548449.07FU_KM408757_reps	Unassigned	0.0
SH090796.07FU_DQ647444_refs	Unassigned	0.0
SH127224.07FU_EU014069_reps	Unassigned	0.0
SH088240.07FU_AF062927_refs	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__Suillus_bovinus	1.0
SH080046.07FU_EF175511_reps	Unassigned	0.0
SH135061.07FU_JX444651_reps	Unassigned	0.0
SH552792.07FU_KP814178_reps	Unassigned	0.0
SH117065.07FU_AY251446_reps	Unassigned	0.0
SH077785.07FU_JQ081552_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_harzianum	1.0
SH126992.07FU_JF491204_reps	Unassigned	0.0
SH094382.07FU_UDB020294_reps	Unassigned	0.0
SH086476.07FU_KF432975_refs	Unassigned	0.0
SH080920.07FU_EU625813_reps	Unassigned	0.0
SH545962.07FU_KP134998_reps	Unassigned	0.0
SH102390.07FU_GU300070_reps	Unassigned	0.0
SH547269.07FU_KP406561_reps	Unassigned	0.0
SH544976.07FU_KP133435_reps	Unassigned	0.0
SH128059.07FU_AF444502_refs	Unassigned	0.0
SH087112.07FU_EF423623_refs	Unassigned	0.0
SH097524.07FU_GQ892988_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_silvae-herbaceae	1.0
SH094414.07FU_UDB017792_refs	Unassigned	0.0
SH119812.07FU_FJ554164_reps	Unassigned	0.0
SH087215.07FU_UDB015579_refs	Unassigned	0.0
SH135274.07FU_HQ604678_reps	Unassigned	0.0
SH096891.07FU_JQ706109_refs	Unassigned	0.0
SH118993.07FU_KF291092_refs	Unassigned	0.0
SH077604.07FU_UDB018240_reps	Unassigned	0.0
SH100016.07FU_EU006533_reps	Unassigned	0.0
SH130037.07FU_UDB018058_refs	Unassigned	0.0
SH120207.07FU_HM626650_reps	Unassigned	0.0
SH112906.07FU_AF444407_refs	Unassigned	0.0
SH133270.07FU_UDB019514_reps	Unassigned	0.0
SH094982.07FU_KF717583_refs	Unassigned	0.0
SH117466.07FU_JQ889287_reps	Unassigned	0.0
SH095038.07FU_KJ780608_reps	Unassigned	0.0
SH083127.07FU_HF970229_reps	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Funneliformis;s__Funneliformis_geosporum	1.0
SH084513.07FU_KF378671_reps	Unassigned	0.0
SH125157.07FU_UDB015766_refs	Unassigned	0.0
SH134854.07FU_FJ904124_refs	Unassigned	0.0
SH116195.07FU_KJ706587_reps	Unassigned	0.0
SH113364.07FU_DQ399853_reps	Unassigned	0.0
SH116583.07FU_KJ123717_reps	Unassigned	0.0
SH133518.07FU_DQ344512_reps	Unassigned	0.0
SH544596.07FU_KT222840_reps	Unassigned	0.0
SH093833.07FU_HM562090_reps	Unassigned	0.0
SH538457.07FU_KM580658_reps	Unassigned	0.0
SH133646.07FU_JF273504_reps	Unassigned	0.0
SH077293.07FU_KC012605_refs	Unassigned	0.0
SH135426.07FU_KF732447_refs	Unassigned	0.0
SH093074.07FU_FN600384_refs	Unassigned	0.0
SH124109.07FU_UDB016372_refs	Unassigned	0.0
SH096272.07FU_EU343826_refs	Unassigned	0.0
SH538363.07FU_KP347543_reps	Unassigned	0.0
SH122749.07FU_UDB015472_refs	Unassigned	0.0
SH088225.07FU_HM577282_refs	Unassigned	0.0
SH122642.07FU_AY905554_refs	Unassigned	0.0
SH116546.07FU_JN712499_reps	Unassigned	0.0
SH097759.07FU_DQ882570_reps	Unassigned	0.0
