#OTU ID	taxonomy	confidence	num hits
JF715197	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia_kudriavzevii	0.80	5
New.CleanUp.ReferenceOTU38	Root;Ascomycota;Sordariomycetes;Hypocreales	0.80	5
New.CleanUp.ReferenceOTU36	Root;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae	0.80	5
New.CleanUp.ReferenceOTU426	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia_jadinii	1.00	2
New.CleanUp.ReferenceOTU424	Root	1.00	5
New.CleanUp.ReferenceOTU425	Root;Ascomycota	0.80	5
HQ589260	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia_kudriavzevii	0.80	5
New.CleanUp.ReferenceOTU340	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia_kudriavzevii	0.80	5
New.CleanUp.ReferenceOTU180	Root;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium	1.00	5
New.CleanUp.ReferenceOTU132	Root	1.00	4
New.CleanUp.ReferenceOTU136	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_geotrichum	0.80	5
New.ReferenceOTU0	Root;Basidiomycota	0.80	5
New.ReferenceOTU1	Root	1.00	5
New.ReferenceOTU2	Root;Basidiomycota	0.80	5
New.ReferenceOTU3	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Galactomyces;Galactomyces_geotrichum	0.80	5
New.ReferenceOTU4	Root	1.00	5
New.ReferenceOTU5	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae	0.80	5
New.CleanUp.ReferenceOTU250	Root	1.00	5
GU370744	Root	1.00	3
GU187850	Root;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0.80	5
GU721258	Root;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	0.80	5
GU187857	Root;Ascomycota;Sordariomycetes;Hypocreales	0.80	5
JF439501	Root;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Penicillium	1.00	5
New.CleanUp.ReferenceOTU196	Root;Basidiomycota;Agaricomycetes	0.80	5
New.CleanUp.ReferenceOTU395	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Zygosaccharomyces	1.00	4
New.CleanUp.ReferenceOTU199	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia_kudriavzevii	0.80	5
New.CleanUp.ReferenceOTU354	Root;Basidiomycota;Agaricomycetes	0.80	5
