Feature ID	Taxon	Confidence
04ae71eb4c503b554e0cdfbb24cf7daf	Unassigned	1.0
7651320d78381bdc13d439a67ba10772	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__	1.0
654eef283982020e17b43eb65da08f9a	Unassigned	1.0
3a6f15d58cfa31a8fef198de4c3c40b6	Unassigned	1.0
92543eda49941a8b3c214d2a68ad40e2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__monocytogenes	1.0
89124da817839901b34a2d42aee7a7b7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	1.0
7ddb765fdf533debcfe365e6d56b87d3	Unassigned	1.0
fa6b7db4a98b9d2bd792a53da628a0d6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	1.0
4d7ce93311b4d3347850d10026aba5a1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nigrescens	1.0
f23292958e89c441c38b77f3b4b0811c	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__sphaeroides	1.0
3a85bf6d15dbb246f2f89285897d279b	Unassigned	1.0
e8a639004f2ac4ae15600e3d98f5f312	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__pylori	1.0
d1050590c3c1cff5952b7081dc745a2e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	1.0
6a19279af7cae3fad716bc003c2f0e82	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__	1.0
714f8d4433165673c71aa2b9c356cbd2	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__	1.0
802968502cb98dc441ce0a0a0c5ceffa	Unassigned	1.0
afceebaf7573d2f739a6d334f7f5c73c	Unassigned	1.0
81523274a90ccceafdce377978541a87	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__	1.0
2c60d9fa61803b4db005315557e6d7e6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	1.0
1bbf479ea7e52bab956746b84de7ae03	Unassigned	1.0
e043e5b49518ec80fc27c13b5101c573	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	1.0
2b164a3b5ace1f9dd01a1b241705a841	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__epidermidis	1.0
37cc886b7506d1d1cc26df10537dc437	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__	1.0
6e6bee95e7e85086dc8f00ea86856791	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	1.0
2695533af08f78685473414fb6dfc6a4	Unassigned	1.0
4faf641b43449b37b8793867e997df3e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes	1.0
6955a05b2dba3847eb1642c32b737271	Unassigned	1.0
