id	taxonomy
1159954bed19d2b166c8a53e12ea2f4f	other
81745a375a7def45786f11810b7f7a23	other
79b09c68e850b6405ab33a215fc37575	other
f27fbf96075574111702ab4d56d0fb51	other
5034290617cac040feac3773f3a6d0be	other
add1877e2a0a9fa2a4d1d46bb632eef6	other
507a4f80b46203c7ea1cc1f3c9652d56	other
1155f3280090b1fa48dfc2fd9818b543	other
698cc1c87e33a2fb6935df2885041fd0	k__Fungi;p__Ascomycota;c__Schizosaccharomycetes;o__Schizosaccharomycetales;f__Schizosaccharomycetaceae;g__Schizosaccharomyces;s__Schizosaccharomyces_pombe
99e86f7eb0de36633fed630f02764c0c	other
91dd74965f7a3bafb5fdf521d499530d	other
b7b3cc370cd30775e1518e79c3bb8c67	other
d1fa3688c168ff1c4b51b88af85c672b	other
edc7cbedf6df1c544c256d73cc426a69	other
b36e748bf3a4614654df2d83ff1116cc	other
8263dd7f28951a8c4bba772aa8002087	other
becb377141a930014e5c33d8d1747773	other
e906ccf8fc1199985cd01a70720434e4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis; s__
b3af153a9145a74cef633d4ed5da5c50	other
4d2ee7478d36fdce0260c1ba165c9382	other
c9e68e0956e6a7f01d4af63749dc7db6	other
dcaabcef6fde506746066d19fdc4a7d3	other
e5a3b157105cb8775c6e702cfdad8942	k__Fungi;p__Ascomycota;c__Schizosaccharomycetes;o__Schizosaccharomycetales;f__Schizosaccharomycetaceae;g__Schizosaccharomyces;s__Schizosaccharomyces_pombe
9fad7c7248bc18d732bd0ef256aaba8b	other
