Feature ID	Taxon	Confidence
273661	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.0
2884179	k__Bacteria; p__Cyanobacteria	1.0
38566	k__Bacteria	1.0
97840	k__Bacteria; p__Cyanobacteria	1.0
347913	Unassigned	1.0
439	k__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus	1.0
4445049	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	1.0
89370	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
312765	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales	1.0
4476741	k__Bacteria	1.0
545968	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.0
1145893	k__Bacteria	1.0
672322	Unassigned	1.0
4321924	Unassigned	1.0
1131014	k__Bacteria	1.0
2621281	k__Bacteria; p__Bacteroidetes	1.0
239922	k__Archaea; p__Euryarchaeota	1.0
295454	k__Bacteria	1.0
