dataset	level	iteration	method	parameters               	observed_taxonomy	expected_taxonomy	result	mismatch_level               	Precision	Recall	F-measure
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromusa	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	overclassification	3	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	overclassification	3	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylosarcina;s__quisquiliarum	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales	overclassification	3	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales	overclassification	3	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Cyanobacteriaceae;g__Rubidibacter;s__lacunae	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	misclassification	2	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	misclassification	2	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Acholeplasmatales	match	3	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	underclassification	2	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Thermodesulforhabdus;s__norvegica	k__Bacteria;p__Thermi;c__Deinococci;o__Thermales	misclassification	1	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cercozoa	underclassification	2	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Archaea	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	underclassification	1	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Tremblayales	underclassification	1	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	overclassification	3	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Bacteria;p__Firmicutes	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	underclassification	2	0.047619047619	0.0344827586207	0.04
B1-REF	3	1	naive-bayes	0.001:[7,7]:0.5	k__Archaea;p__Euryarchaeota	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	underclassification	2	0.047619047619	0.0344827586207	0.04
