dataset	level	iteration	method	parameters	seq_id               	observed_taxonomy	expected_taxonomy	result	mismatch_level
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	2058825	k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae	k__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	23520	k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Thermoanaerobacter; s__uzonensis	k__Bacteria; p__Firmicutes; c__Clostridia; o__Natranaerobiales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	1134675	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales	match	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	4390966	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	misclassification	1
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	4064689	k__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Carboxydothermus	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenscatenales	misclassification	1
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	4416718	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__ruthenica	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__HTCC2188	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	2000753	Unassigned	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Tremblayales	misclassification	0
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	109728	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	match	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	15593	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Anaerorhabdus; s__furcosa	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales	misclassification	1
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	369386	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta	misclassification	1
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	186867	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__aminovorans	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	675678	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobulbaceae	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	4459671	Unassigned	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales	misclassification	0
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	4405546	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Oxalobacter; s__formigenes	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	268353	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	4429719	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae	k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales	misclassification	1
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	638076	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium; s__viridans	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	overclassification	3
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	920852	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfobacteraceae; g__Desulfococcus	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	misclassification	1
B1-REF	3	2	sortmerna	0.51:0.8:3:0.9:1.0	684018	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Plesiomonas; s__shigelloides	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales	overclassification	3
