dataset	level	iteration	method	parameters               	observed_taxonomy	expected_taxonomy	result	mismatch_level               	Precision	Recall	F-measure
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Rhodoblastus;s__sphagnicola	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Staphylococcus;s__saprophyticus	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__Cytophaga;s__xylanolytica	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__exiguus	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Aquificaceae	underclassification	1	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Gomphosphaeriaceae	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Cyanobacteriaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Desulfuromonas;s__palmitatis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae	misclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Acaryochloridaceae	misclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Teredinibacter;s__turnerae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	misclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Bogoriella;s__caseolytica	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111	misclassification	2	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae	match	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Blattabacteriaceae	misclassification	2	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	underclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales;f__Phormidiaceae;g__Phormidium;s__animale	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Scytonemataceae	misclassification	2	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__equi	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Tsukamurellaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae	misclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	misclassification	1	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__acanthamoebae	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Pilimelia;s__terevasa	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	underclassification	2	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	underclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Mamiellaceae	underclassification	1	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	underclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	misclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinosynnemataceae;g__Umezawaea;s__tangerina	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Desulfuromonas;s__michiganensis	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicimonaceae	misclassification	3	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Yaniellaceae;g__Auritibacter;s__ignavus	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Anaerosinus;s__glycerini	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paraprevotellaceae	misclassification	1	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia;s__timorensis	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
B1-REF	4	2	rdp	0.3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae	overclassification	4	0.0508474576271	0.044776119403	0.047619047619
