dataset	level	iteration	method	parameters               	observed_taxonomy	expected_taxonomy	result	mismatch_level               	Precision	Recall	F-measure
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__exiguus	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Cystobacteraceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Aquificaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Gomphosphaeriaceae	k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales;f__Cyanobacteriaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes;s__elegans	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales;f__Pseudanabaenaceae;g__Nodosilinea;s__nodulosa	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales;f__Acaryochloridaceae	misclassification	3	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae;g__Crenothrix;s__polyspora	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae;g__Myceligenerans;s__xiligouense	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Beutenbergiaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__C111	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Glycomycetaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassomonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Psychromonadaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Blattabacteriaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Nostocaceae;g__Nostoc	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales;f__Scytonemataceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__equi	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Tsukamurellaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__acanthamoebae	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Pilimelia;s__terevasa	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Frankiaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae	misclassification	3	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Mamiellaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	misclassification	3	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae	match	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Desulfuromonas	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__stutzeri	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Endozoicimonaceae	misclassification	3	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__xylanilytica	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Paraprevotellaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__equi	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Williamsiaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nakamurellaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__viridans	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae	misclassification	3	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Heliobacteriaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Sanguibacteraceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__capsulatum	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__thermodenitrificans	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__Actinoallomurus;s__iriomotensis	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptosporangiaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiohalocapsa	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae	misclassification	3	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__andropogonis	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Pseudoalteromonadaceae;g__Vibrio;s__harveyi	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__xylanilytica	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	Unassigned	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halobacteroidaceae	underclassification	0	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;s__adhaerens	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
B1-REF	4	2	uclust	0.51:0.9:3	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Pyrodictiaceae	overclassification	4	0.0487804878049	0.0298507462687	0.037037037037
