Feature ID	Taxon	Confidence
1111847	Unassigned	5.090039500998955e-12
1110871	Unassigned	1.0381251414059989e-11
1110799	Unassigned	3.1086244689504383e-15
1109724	Unassigned	3.769329293135115e-11
1109485	k__Bacteria; p__Actinobacteria	1.0000000000000049
1105663	Unassigned	7.549516567451064e-15
1104891	Unassigned	8.215650382226158e-15
1102670	Unassigned	7.605238661057001e-11
1100298	Unassigned	1.9173551635276453e-13
1097415	Unassigned	7.327471962526033e-15
1096016	k__Bacteria	1.0000000000000022
1095335	Unassigned	7.105427357601002e-15
1095073	Unassigned	4.8967496724117154e-12
1094725	k__Bacteria	1.0000000000000069
1093555	k__Bacteria	1.0000000000000016
1091582	Unassigned	8.43769498715119e-15
1088241	Unassigned	3.774758283725532e-15
1086845	Unassigned	1.7430501486614958e-14
1084182	Unassigned	6.439293542825908e-15
1082770	Unassigned	4.490480209895509e-10
1082120	Unassigned	7.438660354353033e-09
1080102	k__Bacteria	1.0000000000000047
1080082	Unassigned	2.6645352591003757e-15
1074141	k__Bacteria	1.0000000000000007
1072223	Unassigned	5.508371536677714e-11
1071723	Unassigned	5.440092820663267e-15
1069482	k__Bacteria	1.0000000000000002
1066797	k__Bacteria	1.0000000000000044
1062580	Unassigned	1.5543122344752192e-15
1062216	Unassigned	6.5180083552718315e-12
1061335	k__Bacteria	1.0000000000000056
1060621	Unassigned	2.1105339698124226e-13
1060618	Unassigned	2.220446049250313e-15
1059730	Unassigned	2.3314683517128287e-15
1058812	k__Bacteria	1.0000000000000036
1049883	Unassigned	4.551914400963142e-15
1047409	Unassigned	4.6074255521943996e-14
1044707	Unassigned	2.7507995881137504e-12
1041665	k__Bacteria	1.0000000000000047
1039733	k__Bacteria	1.000000000000004
1039074	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	1.0000000000000022
1037892	Unassigned	3.4416913763379853e-15
1036405	Unassigned	9.998603056615707e-10
1033471	k__Bacteria	1.0000000000000044
1027641	Unassigned	1.150890494017176e-11
1025746	k__Bacteria	1.0000000000000007
1021078	k__Bacteria	1.0000000000000049
1018700	Unassigned	7.771561172376096e-15
1018165	Unassigned	2.220446049250313e-15
1012339	k__Bacteria	1.0000000000000056
1010107	Unassigned	2.220446049250313e-16
1008902	Unassigned	1.601796473238437e-11
1006881	k__Bacteria	1.000000000000004
999046	k__Bacteria	1.0000000000000047
994916	Unassigned	8.548717289613705e-15
988542	k__Bacteria	1.0000000000000029
985181	Unassigned	9.992007221626409e-15
983774	k__Bacteria	1.0000000000000004
982368	Unassigned	6.439293542825908e-15
981989	Unassigned	4.320321878026334e-12
980245	Unassigned	2.016501440937901e-06
973957	Unassigned	1.9984014443252818e-15
972928	Unassigned	1.9857782085352937e-11
972803	k__Bacteria	1.0000000000000002
971971	Unassigned	2.531308496145357e-14
971907	k__Bacteria	1.0000000000000002
967472	Unassigned	1.2989609388114332e-14
967245	Unassigned	2.3314683517128287e-15
966251	Unassigned	2.9605651263864274e-11
960555	Unassigned	5.3179682879545e-14
958846	k__Bacteria	1.0000000000000036
948622	Unassigned	1.6653345369377348e-15
946737	Unassigned	3.774758283725532e-15
945570	Unassigned	8.29024932036404e-08
942984	Unassigned	5.88418203051333e-15
942848	Unassigned	1.3644640972643174e-13
941523	Unassigned	3.8746783559417963e-14
938795	k__Bacteria; p__Proteobacteria	1.0000000000000049
935753	Unassigned	3.4416913763379853e-15
932713	Unassigned	1.8621104829974477e-05
931727	Unassigned	1.9173551635276453e-13
930605	Unassigned	8.43769498715119e-15
926706	Unassigned	8.881784197001252e-16
924077	Unassigned	2.922151409734397e-11
920334	Unassigned	4.363287509079328e-12
920307	Unassigned	7.771561172376096e-15
918455	Unassigned	7.256417688950023e-12
917899	Unassigned	1.14921981497762e-06
917204	Unassigned	3.0534383910207907e-09
917141	Unassigned	1.887379141862766e-15
916869	Unassigned	1.0236844705246995e-10
912959	Unassigned	5.551115123125783e-16
910340	Unassigned	8.175682353339653e-13
904314	Unassigned	3.3306690738754696e-16
901328	k__Bacteria	1.0000000000000002
900489	Unassigned	1.7798873486185585e-11
895007	Unassigned	7.613909502879324e-13
894391	Unassigned	3.3306690738754696e-16
893929	k__Bacteria	1.0000000000000004
891599	k__Bacteria	1.0000000000000044
888444	Unassigned	1.8702372983625537e-11
888422	Unassigned	2.220446049250313e-16
884457	Unassigned	1.3985479441203097e-12
881238	Unassigned	4.9960036108132044e-15
881129	Unassigned	2.329936243938846e-11
880627	Unassigned	4.3298697960381105e-15
878265	Unassigned	3.301716677839295e-10
878090	Unassigned	5.88418203051333e-15
876984	Unassigned	3.707101292604875e-11
871567	Unassigned	4.348987836522156e-11
871201	Unassigned	5.218048215738236e-15
867545	Unassigned	7.083778008620811e-12
867304	Unassigned	1.5976109324356003e-12
865469	Unassigned	5.10702591327572e-15
854464	k__Bacteria	1.000000000000002
850405	k__Bacteria	1.000000000000004
849493	Unassigned	2.1146627152690556e-06
843653	Unassigned	4.9792392431413646e-12
840771	Unassigned	6.177184604638786e-05
839763	Unassigned	7.709388682997087e-13
839418	Unassigned	1.1657341758564144e-14
838750	Unassigned	3.219646771412954e-15
835771	k__Bacteria; p__Proteobacteria	1.0000000000000047
832772	Unassigned	2.220446049250313e-15
832674	k__Bacteria	1.0000000000000018
831997	Unassigned	3.1198163052970074e-08
827639	Unassigned	8.881784197001252e-15
826485	Unassigned	4.5583280383620917e-07
826104	Unassigned	3.885780586188048e-15
822776	Unassigned	4.551914400963142e-15
821756	k__Bacteria	1.0000000000000022
820871	Unassigned	2.220446049250313e-16
820546	Unassigned	6.772360450213455e-15
819687	k__Bacteria	1.0000000000000002
819250	Unassigned	1.3322676295501878e-15
819037	Unassigned	1.1102230246251565e-15
818254	Unassigned	2.9976021664879227e-15
812948	Unassigned	9.880984919163893e-15
810448	k__Bacteria; p__Proteobacteria	1.000000000000004
809629	k__Bacteria; p__Proteobacteria	1.000000000000004
808896	k__Bacteria	1.0000000000000033
808540	Unassigned	6.442624211899783e-13
806942	Unassigned	2.220446049250313e-16
799236	k__Bacteria	1.000000000000003
797846	Unassigned	1.2532197501968767e-12
793997	k__Bacteria	1.0000000000000029
792019	k__Bacteria	1.0000000000000038
764322	Unassigned	1.793744042188905e-09
760190	Unassigned	2.030793927465524e-07
759953	k__Bacteria	1.0000000000000056
757479	Unassigned	1.887379141862766e-15
751601	Unassigned	6.4824812184838265e-12
749696	k__Bacteria; p__Proteobacteria	1.0000000000000002
746730	Unassigned	2.7026603177660036e-11
740898	Unassigned	6.8833827526759706e-15
734243	Unassigned	6.8833827526759706e-15
732609	k__Bacteria; p__Actinobacteria	1.0000000000000013
732292	Unassigned	5.883071807488705e-13
731707	Unassigned	2.9976021664879227e-15
728797	k__Bacteria	1.0000000000000033
727129	Unassigned	1.7763568394002505e-15
724298	Unassigned	2.9083424557541093e-10
716469	Unassigned	4.105604745063829e-13
702854	Unassigned	6.106226635438361e-15
701761	Unassigned	1.4432899320127035e-15
697227	Unassigned	6.5503158452884236e-15
696991	Unassigned	5.88418203051333e-15
696402	Unassigned	9.992007221626409e-16
694777	Unassigned	7.105427357601002e-15
691486	Unassigned	4.6629367034256575e-15
684187	k__Bacteria	1.000000000000005
677286	k__Bacteria	1.000000000000003
672937	Unassigned	1.765254609153999e-14
662645	Unassigned	3.552713678800501e-15
639172	k__Bacteria	1.0000000000000004
638029	Unassigned	7.66053886991358e-15
631989	Unassigned	9.992007221626409e-16
629864	k__Bacteria	1.0000000000000007
626127	k__Bacteria; p__Proteobacteria	1.0000000000000058
625629	Unassigned	4.6629367034256575e-15
617939	Unassigned	4.741878326663951e-07
