dataset	level	iteration	method	parameters               	observed_taxonomy	expected_taxonomy	result	mismatch_level               	Precision	Recall	F-measure
F1-REF	2	1	blast+	0.001:10:0.99:0.8	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes	underclassification	0	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Leotiomycetes	match	2	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi;p__Glomeromycota;c__Glomeromycetes	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes	misclassification	1	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	Unassigned	k__Fungi;p__Basidiomycota;c__Ustilaginomycotina_cls_Incertae_sedis	underclassification	0	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	Unassigned	k__Fungi;p__Zygomycota;c__Kickxellomycotina_cls_Incertae_sedis	underclassification	0	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes	underclassification	1	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis	match	2	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi;p__Basidiomycota;c__Microbotryomycetes	k__Fungi;p__Basidiomycota;c__Tritirachiomycetes	overclassification	2	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	Unassigned	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes	underclassification	0	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	underclassification	1	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Orbiliomycetes	match	2	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	Unassigned	k__Fungi;p__Ascomycota;c__Taphrinomycetes	underclassification	0	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	k__Fungi	k__Fungi;p__Basidiomycota;c__Dacrymycetes	underclassification	1	0.6	0.214285714286	0.315789473684
F1-REF	2	1	blast+	0.001:10:0.99:0.8	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycotina_cls_Incertae_sedis	underclassification	0	0.6	0.214285714286	0.315789473684
