#OTU ID	taxonomy	confidence	num hits
AF178417	Unassigned	1.00	1
AB054041	Root;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus;Glomus_intraradices	1.00	1
L27658	Root;Basidiomycota;Tremellomycetes;Tremellales;Exidiaceae;Sebacina;Sebacina_vermifera	1.00	1
U33070	Root;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium;Filobasidium_uniguttulatum	1.00	1
DQ681328	Unassigned	1.00	1
AF506435	Root;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Cryptosporiopsis;Cryptosporiopsis_actinidiae	1.00	1
DQ497616	Unassigned	1.00	1
DQ536501	Unassigned	1.00	1
AF444643	Root;Basidiomycota;Tremellomycetes;Tremellales;Tremellaceae;Tremella;Tremella_indecorata	1.00	1
EF621920	Unassigned	1.00	1
FJ167356	Unassigned	1.00	1
AF514292	Root;Basidiomycota;Pucciniomycetes;Pucciniales;Pileolariaceae;Pileolaria;Pileolaria_terebinthi	1.00	1
DQ827707	Unassigned	1.00	1
