dataset	level	iteration	method	parameters	seq_id               	observed_taxonomy	expected_taxonomy	result	mismatch_level
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AY618669	Unassigned	Root;Basidiomycota;Pucciniomycetes;Pachnocybales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FJ588711	Unassigned	Root;Ascomycota;Lecanoromycetes;Ostropales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EF191235	Unassigned	Root;Ascomycota;Leotiomycetes;Rhytismatales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	DQ873660	Root;Basidiomycota;Agaricomycetes;Boletales;Coniophoraceae;Leucogyrophana;Leucogyrophana_romellii	Root;Basidiomycota;Tremellomycetes;Tremellales	misclassification	2
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AB180368	Root;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Aquamycetaceae;Alphamyces;Alphamyces_chaetifer	Root;Basidiomycota;Exobasidiomycetes;Exobasidiales	misclassification	1
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	DQ365668	Unassigned	Root;Basidiomycota;Agaricomycetes;Atheliales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AJ421007	Unassigned	Root;Basidiomycota;Agaricomycetes;Polyporales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EF592116	Unassigned	Root;Basidiomycota;Microbotryomycetes;Sporidiobolales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	DQ534457	Unassigned	Root;Ascomycota;Lecanoromycetes;Rhizocarpales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	GQ354271	Unassigned	Root;Basidiomycota;Agaricomycetes;Gloeophyllales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AJ012112	Unassigned	Root;Glomeromycota;Glomeromycetes;Paraglomerales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AM397678	Root;Ascomycota	Root;Chytridiomycota;Chytridiomycetes;Olpidiaceae	misclassification	1
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	DQ534479	Unassigned	Root;Ascomycota;Lecanoromycetes;Agyriales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AY292453	Unassigned	Root;Basidiomycota;Pucciniomycetes;Platygloeales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FJ462759	Root;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Muscodor;Muscodor_albus	Root;Ascomycota;Sordariomycetes;Diaporthales	overclassification	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FN423704	Root;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Clavispora;Clavispora_reshetovae	Root;Glomeromycota;Glomeromycetes;Diversisporales	misclassification	1
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	DQ827707	Root;Basidiomycota;Exobasidiomycetes;Entylomatales;Entylomataceae;Entyloma	Root;Basidiomycota;Exobasidiomycetes;Tilletiales	overclassification	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	HQ414538	Root;Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus;Rhizophagus_intraradices	Root;Basidiomycota;Agaricomycetes;Phallales	misclassification	1
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AF243398	Root;Ascomycota;Dothideomycetes;Pleosporales;Dothidotthiaceae;Barriopsis;Barriopsis_iraniana	Root;Ascomycota;Dothideomycetes;Botryosphaeriales	overclassification	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EU379209	Root;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Sporisorium	Root;Chytridiomycota;Chytridiomycetes;Rhizophlyctidales	misclassification	1
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AY123780	Unassigned	Root;Ascomycota;Eurotiomycetes;Arachnomycetales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EU552127	Unassigned	Root;Ascomycota;Sordariomycetes;Calosphaeriales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FJ010336	Unassigned	Root;Ascomycota;Dothideomycetes;Myriangiales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AF444630	Unassigned	Root;Basidiomycota;Microbotryomycetes;Leucosporidiales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AF019636	Root;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Arrhenia	Root;Basidiomycota;Agaricomycetes;Sebacinales	overclassification	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FJ172292	Root;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae	Root;Ascomycota;Eurotiomycetes;Ascosphaerales	misclassification	2
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FR716677	Root;Ascomycota;Dothideomycetes	Root;Ascomycota;Dothideomycetes;Scleroramularia_asiminae	match	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	FR716676	Root;Ascomycota;Dothideomycetes	Root;Ascomycota;Dothideomycetes;Scleroramularia_abundans	match	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EF989122	Root;Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	Root;Basidiomycota;Agaricomycetes;Hysterangiales	overclassification	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EF025406	Root;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Hydropunctaria;Hydropunctaria_maura	Root;Ascomycota;Eurotiomycetes;Chaetothyriales	overclassification	3
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AF178417	Unassigned	Root;Ascomycota;Sordariomycetes;Hypocreales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	DQ525490	Unassigned	Root;Ascomycota;Lecanoromycetes;Acarosporales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	EF605270	Unassigned	Root;Ascomycota;Lecanoromycetes;Peltigerales	misclassification	0
F1-REF	3	2	sortmerna	0.51:0.9:5:0.8:1.0	AF291269	Root;Basidiomycota;Agaricomycetes	Root;Basidiomycota;Agaricomycetes;Auriculariales	match	3
