#OTU ID	taxonomy	confidence	num hits
SH089592.07FU_GU258222_refs	Unassigned	1.00	1
SH134264.07FU_FN907912_refs	Unassigned	1.00	1
SH129799.07FU_AY046210_refs	Unassigned	1.00	1
SH099777.07FU_EU142914_reps	Unassigned	1.00	1
SH076998.07FU_KF060297_reps	Unassigned	1.00	1
SH134298.07FU_GU139789_reps	k__Fungi;p__Basidiomycota;c__Agaricomycotina_cls_Incertae_sedis;o__Agaricomycotina_ord_Incertae_sedis;f__Agaricomycotina_fam_Incertae_sedis;g__Eriocybe;s__Eriocybe_chionea	1.00	1
SH089224.07FU_JN197621_reps	Unassigned	1.00	1
SH115692.07FU_AY789384_reps	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Leotiomycetes_ord_Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_rhodogenum	1.00	1
SH135576.07FU_UDB021482_refs	Unassigned	1.00	1
SH113137.07FU_FJ623599_refs	Unassigned	1.00	1
SH089969.07FU_FJ554393_reps	Unassigned	1.00	1
SH119423.07FU_U33081_refs	Unassigned	1.00	1
SH114612.07FU_AB510592_reps	Unassigned	1.00	1
SH080689.07FU_JX414192_reps	Unassigned	1.00	1
SH118604.07FU_EU852369_reps	Unassigned	1.00	1
SH554034.07FU_DQ656618_reps	Unassigned	1.00	1
SH129807.07FU_JF907981_refs	Unassigned	1.00	1
SH104863.07FU_AY854085_refs	Unassigned	1.00	1
SH083959.07FU_HQ682657_reps	Unassigned	1.00	1
SH131682.07FU_JQ724360_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Tapinellaceae;g__Tapinella;s__Tapinella_panuoides	1.00	1
SH099557.07FU_FJ475672_reps	Unassigned	1.00	1
SH102227.07FU_KJ486574_reps	Unassigned	1.00	1
SH080052.07FU_EF175554_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Niaceae;g__Cyphellopsis;s__Cyphellopsis_anomala	1.00	1
SH124184.07FU_FJ594921_reps	Unassigned	1.00	1
SH093641.07FU_GU207278_reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporales_fam_Incertae_sedis;g__Obba;s__Obba_valdiviana	1.00	1
SH076506.07FU_KJ710468_refs	Unassigned	1.00	1
SH134446.07FU_UDB011219_refs	Unassigned	1.00	1
SH088765.07FU_AY943055_refs	Unassigned	1.00	1
SH100958.07FU_KF128871_reps	Unassigned	1.00	1
SH091121.07FU_DQ268609_reps	Unassigned	1.00	1
SH082098.07FU_JQ828900_reps	Unassigned	1.00	1
SH091411.07FU_UDB000318_refs	Unassigned	1.00	1
SH094094.07FU_KC966345_reps	Unassigned	1.00	1
SH104190.07FU_AB481250_refs	Unassigned	1.00	1
SH116000.07FU_AY604526_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Pseudosydowia;s__Pseudosydowia_eucalypti	1.00	1
SH135369.07FU_KF732493_refs	Unassigned	1.00	1
SH134618.07FU_EF560673_refs	Unassigned	1.00	1
SH093780.07FU_AY554212_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Monocillium;s__Monocillium_indicum	1.00	1
SH084183.07FU_EU266117_reps	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Rhizocarpales;f__Rhizocarpaceae;g__Rhizocarpon;s__Rhizocarpon_lavatum	1.00	1
SH079742.07FU_UDB000500_refs	Unassigned	1.00	1
SH125306.07FU_AY621792_reps	Unassigned	1.00	1
SH092958.07FU_KF959776_reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariales_fam_Incertae_sedis;g__Agonimia;s__Agonimia_allobata	1.00	1
SH539005.07FU_KM220949_reps	Unassigned	1.00	1
SH099094.07FU_AY603121_refs	Unassigned	1.00	1
SH101791.07FU_JX065175_refs	Unassigned	1.00	1
SH102345.07FU_EF026121_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreomycetidae_ord_Incertae_sedis;f__Hypocreomycetidae_fam_Incertae_sedis;g__Neophysalospora;s__Neophysalospora_eucalypti	1.00	1
SH538920.07FU_KT820128_reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dothidotthiaceae;g__Spencermartinsia;s__Spencermartinsia_viticola	1.00	1
SH105133.07FU_AM882713_reps	Unassigned	1.00	1
SH077756.07FU_GU232860_reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Niessliaceae;g__Monocillium;s__Monocillium_indicum	1.00	1
SH096627.07FU_U66450_refs	Unassigned	1.00	1
SH134963.07FU_AF042404_reps	Unassigned	1.00	1
SH104670.07FU_JN685285_reps	Unassigned	1.00	1
SH103419.07FU_KC005781_refs	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales_fam_Incertae_sedis;g__Phaeocryptopus;s__Phaeocryptopus_gaeumannii	1.00	1
SH108404.07FU_GU207251_reps	Unassigned	1.00	1
SH113367.07FU_AY526296_reps	Unassigned	1.00	1
SH077355.07FU_JQ307908_reps	Unassigned	1.00	1
