dataset	level	iteration	method	parameters               	observed_taxonomy	expected_taxonomy	result	mismatch_level               	Precision	Recall	F-measure
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Boletus	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Peltigerales;f__Pannariaceae;g__Psoroma	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__Auriculariales_fam_Incertae_sedis;g__Basidiodendron	misclassification	3	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Cystodendron	underclassification	2	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellales_fam_Incertae_sedis;g__Tremella	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Lophodermium	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercosporella	underclassification	2	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces	underclassification	2	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Chlorophyllum	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Cuphophyllus	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Neocallimastigomycota;c__Neocallimastigomycetes;o__Neocallimastigales;f__Neocallimastigaceae;g__Neocallimastix	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Basidiomycota;c__Agaricomycetes	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Hymenochaete	underclassification	3	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Melanoleuca	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Basidiomycota;c__Agaricomycetes	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Truncospora	underclassification	3	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_rubromarginata	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Ganodermataceae;g__Ganoderma	misclassification	3	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Typhrasa	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Morchellaceae;g__Morchella	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria	underclassification	2	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	k__Fungi;p__Ascomycota	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Sarcosomataceae;g__Plectania	underclassification	2	0.264150943396	0.0294736842105	0.0530303030303
F1-REF	5	0	vsearch	10:0.51:0.99	Unassigned	k__Fungi;p__Zygomycota;c__Mucoromycotina_cls_Incertae_sedis;o__Mucorales;f__Cunninghamellaceae;g__Absidia	underclassification	0	0.264150943396	0.0294736842105	0.0530303030303
