,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
0,B1-REF,1,0,rdp,0.0,0.0,1.0,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
1,B1-REF,1,0,rdp,0.1,0.0,1.0,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
2,B1-REF,1,0,rdp,0.2,0.2727272727272727,0.7272727272727273,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
3,B1-REF,1,0,rdp,0.3,0.2727272727272727,0.7272727272727273,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
4,B1-REF,1,0,rdp,0.4,0.45454545454545453,0.5454545454545454,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
5,B1-REF,1,0,rdp,0.5,0.5454545454545454,0.45454545454545453,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
6,B1-REF,1,0,rdp,0.6,0.6363636363636364,0.36363636363636365,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
7,B1-REF,1,0,rdp,0.7,0.6363636363636364,0.36363636363636365,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
8,B1-REF,1,0,rdp,0.8,0.8181818181818182,0.18181818181818182,0.0,0.0,"[0, 11, 0, 0, 0, 0, 0, 0]"
9,B1-REF,1,0,rdp,0.9,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.0,"[1, 10, 0, 0, 0, 0, 0, 0]"
10,B1-REF,1,0,rdp,1.0,0.5454545454545454,0.0,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
11,B1-REF,1,0,sortmerna,0.51:0.8:1:0.8:1.0,0.0,0.5454545454545454,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
12,B1-REF,1,0,sortmerna,0.51:0.8:1:0.9:1.0,0.0,0.5454545454545454,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
13,B1-REF,1,0,sortmerna,0.51:0.8:3:0.8:1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
14,B1-REF,1,0,sortmerna,0.51:0.8:3:0.9:1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
15,B1-REF,1,0,sortmerna,0.51:0.8:5:0.8:1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
16,B1-REF,1,0,sortmerna,0.51:0.8:5:0.9:1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
17,B1-REF,1,0,sortmerna,0.51:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
18,B1-REF,1,0,sortmerna,0.51:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
19,B1-REF,1,0,sortmerna,0.51:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
20,B1-REF,1,0,sortmerna,0.51:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
21,B1-REF,1,0,sortmerna,0.51:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
22,B1-REF,1,0,sortmerna,0.51:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[11, 0, 0, 0, 0, 0, 0, 0]"
23,B1-REF,1,0,sortmerna,0.76:0.8:1:0.8:1.0,0.0,0.5454545454545454,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
24,B1-REF,1,0,sortmerna,0.76:0.8:1:0.9:1.0,0.0,0.5454545454545454,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
25,B1-REF,1,0,sortmerna,0.76:0.8:3:0.8:1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
26,B1-REF,1,0,sortmerna,0.76:0.8:3:0.9:1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
27,B1-REF,1,0,sortmerna,0.76:0.8:5:0.8:1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.0,"[5, 6, 0, 0, 0, 0, 0, 0]"
