Taxon	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.00335774660353	0.0444070189202	0.0458110877432	0.00380305429011
k__Bacteria;Other;Other;Other	0.000207439040581	0.000205244919903	0.000350663700492	0.000254434428613
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Actinomycetales	0.0125182546356	9.12199644014e-05	5.9022603053e-05	0.0141083217559
k__Bacteria;p__Bacteroidetes;Other;Other	1.3829269372e-06	0.0	0.0	1.34621390801e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.0438042107359	0.000356898110721	0.000356739556688	0.0449958536612
k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales	0.0	2.28049911004e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other	8.43585431694e-05	0.000155073939482	0.000129328939043	0.000122505465628
k__Bacteria;p__Firmicutes;c__Bacilli;Other	0.000481258574147	0.000371721354936	0.000491276372471	0.000625989467222
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.505013110147	0.683060794685	0.665853948569	0.508093438015
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0871506726557	0.102111628151	0.106852611012	0.0861267271924
k__Bacteria;p__Firmicutes;c__Clostridia;Other	0.0	1.14024955502e-06	3.47191782665e-06	1.34621390801e-06
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.0240864384653	0.0181379496717	0.0182388523228	0.027219099006
k__Bacteria;p__Proteobacteria;Other;Other	4.28707350533e-05	0.000102622459952	0.000164048117309	6.46182675842e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	1.65951232464e-05	7.86772192962e-05	8.07220894696e-05	1.0769711264e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	1.73595891332e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	4.14878081161e-06	2.39452406554e-05	3.64551371798e-05	2.69242781601e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0111491569677	0.0715495193278	0.0749083630689	0.010243341626
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	0.0	1.14024955502e-06	1.73595891332e-06	6.73106954003e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	2.76585387441e-06	2.28049911004e-06	8.67979456662e-07	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.0194743771297	0.0013865434589	0.00132714058924	0.0210628628046
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;Other	1.3829269372e-06	0.0	0.0	1.34621390801e-06
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.0248760897464	0.00164423985834	0.00151028425459	0.0247770669768
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	6.49975660486e-05	9.80614617315e-05	0.000147556507633	6.19258397682e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.00809150550958	0.0497171610979	0.055667862453	0.00870596534307
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	0.0286321193079	0.0177650880672	0.0189844466761	0.0289786005837
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	3.42074866505e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.164600112847	0.00798402738423	0.00838034165407	0.144186240617
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	1.3829269372e-06	4.78904813107e-05	2.77753426132e-05	1.2115925172e-05
k__Bacteria;p__Thermi;c__Deinococci;Other	1.3829269372e-06	1.14024955502e-06	0.0	5.38485563202e-06
k__Bacteria;p__Thermi;c__Deinococci;o__Deinococcales	0.0663362393238	0.000693271729451	0.00061366147586	0.0765282220284
