Taxon	Even3	Even2	Even1
Unclassified;Other;Other;Other	0.00189494369756	0.00173934218079	0.000286853704611
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26	7.79812221217e-06	0.0	6.99643181977e-06
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	0.0	0.0	2.09892954593e-05
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	3.11924888487e-05	0.0	6.99643181977e-06
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.0	8.69671090394e-06	6.99643181977e-06
k__Bacteria;Other;Other;Other	0.0231058361147	0.023081070739	0.0156790037081
k__Bacteria;p__Acidobacteria;Other;Other	0.0	0.0	2.79857272791e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales	0.0	4.34835545197e-05	0.000146925068215
k__Bacteria;p__Acidobacteria;c__Acidobacteria-2;o__	0.0	2.60901327118e-05	0.000272860840971
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	5.45868554852e-05	5.21802654236e-05	4.19785909186e-05
k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__	5.45868554852e-05	1.73934218079e-05	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	1.55962444243e-05	8.69671090394e-06	2.09892954593e-05
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	0.0	2.60901327118e-05	0.0
k__Bacteria;p__Actinobacteria;Other;Other	9.35774665461e-05	4.34835545197e-05	9.0953613657e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	2.33943666365e-05	8.69671090394e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	0.000725225365732	0.00077400727045	0.000559714545582
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.000218347421941	0.000182630928983	0.000237878681872
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0834243114258	0.0802532482215	0.0872175190653
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	3.89906110609e-05	8.69671090394e-06	0.0
k__Bacteria;p__Bacteroidetes;Other;Other	0.00125549767616	0.00126971979197	0.00102847547751
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.241850962288	0.255083227523	0.256293290422
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;Other	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	9.35774665461e-05	8.69671090394e-05	6.29678863779e-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.000132568077607	0.000200024350791	0.000279857272791
k__Bacteria;p__Chloroflexi;Other;Other	7.79812221217e-06	8.69671090394e-06	2.79857272791e-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	0.0	0.0	3.49821590989e-05
k__Bacteria;p__Cyanobacteria;Other;Other	7.79812221217e-06	8.69671090394e-06	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Cyanobacteria;c__Chloroplast;Other	7.79812221217e-06	0.0	4.89750227384e-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae	1.55962444243e-05	2.60901327118e-05	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles	0.000226145544153	0.000200024350791	0.00140628279577
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.0	8.69671090394e-06	1.39928636395e-05
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	0.000444492966094	8.69671090394e-05	6.29678863779e-05
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;Other	3.89906110609e-05	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	4.6788733273e-05	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	4.6788733273e-05	1.73934218079e-05	2.09892954593e-05
k__Bacteria;p__Firmicutes;Other;Other	0.0014738450981	0.00146104743186	0.00158819002309
k__Bacteria;p__Firmicutes;c__Bacilli;Other	0.000210549299729	0.000182630928983	0.000167914363675
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	2.33943666365e-05	8.69671090394e-06	2.79857272791e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0371970429521	0.030421094742	0.0296228923249
k__Bacteria;p__Firmicutes;c__Clostridia;Other	0.00146604697589	0.00148713756457	0.00159518645491
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.357949405783	0.372593185257	0.351885538375
k__Bacteria;p__Firmicutes;c__Clostridia;o__Coriobacteriales	0.00010917371097	0.000200024350791	0.000125935772756
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.054836395396	0.0383437983755	0.0581473448541
k__Bacteria;p__Fusobacteria;c__Fusobacteria;o__Fusobacteriales	2.33943666365e-05	8.69671090394e-06	2.79857272791e-05
k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	0.0	3.47868436157e-05	0.000153921500035
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__	6.23849776974e-05	1.73934218079e-05	4.89750227384e-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;Other	1.55962444243e-05	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales	0.0	1.73934218079e-05	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales	1.55962444243e-05	0.0	4.19785909186e-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	7.79812221217e-06	8.69671090394e-06	1.39928636395e-05
k__Bacteria;p__Proteobacteria;Other;Other	0.00227705168595	0.00222635799141	0.00216189743231
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	3.11924888487e-05	0.0	2.79857272791e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	3.89906110609e-05	8.69671090394e-05	9.79500454768e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0	6.08769763276e-05	2.79857272791e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	3.89906110609e-05	0.0	1.39928636395e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.000155962444243	1.73934218079e-05	2.79857272791e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	6.23849776974e-05	8.69671090394e-05	0.000125935772756
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__A21b	0.0	1.73934218079e-05	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	7.79812221217e-05	4.34835545197e-05	0.000118939340936
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067	0.0	0.0	1.39928636395e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1	0.0	0.0	4.89750227384e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	2.33943666365e-05	2.60901327118e-05	6.99643181977e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	6.23849776974e-05	6.08769763276e-05	6.99643181977e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84	0.0	2.60901327118e-05	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;Other	7.79812221217e-06	1.73934218079e-05	7.69607500175e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales	3.11924888487e-05	0.0	2.09892954593e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales	0.0	0.0	9.0953613657e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	7.79812221217e-06	0.0	1.39928636395e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales	0.0	0.0	6.29678863779e-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.0313094606819	0.0326387560225	0.0316518575526
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.157927571041	0.155775485711	0.157041908627
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	7.79812221217e-05	0.000130450663559	0.000118939340936
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	5.45868554852e-05	8.69671090394e-06	5.59714545582e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.000366511743972	0.000295688170734	0.00032183586371
k__Bacteria;p__SAR406;c__AB16;o__Arctic96B-7	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	4.6788733273e-05	0.0	3.49821590989e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	1.55962444243e-05	0.0	0.000111942909116
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];Other	0.0	0.0	2.79857272791e-05
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales]	7.79812221217e-06	1.73934218079e-05	7.69607500175e-05
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales]	6.23849776974e-05	0.000408745412485	0.000139928636395
