Taxon	Even3	Even2	Even1
Unclassified;Other	0.00189494369756	0.00173934218079	0.000286853704611
k__Archaea;p__Crenarchaeota	3.89906110609e-05	0.0	3.49821590989e-05
k__Archaea;p__Euryarchaeota	0.0	8.69671090394e-06	6.99643181977e-06
k__Bacteria;Other	0.0231058361147	0.023081070739	0.0156790037081
k__Bacteria;p__Acidobacteria	0.000124769955395	0.000173934218079	0.000510739522843
k__Bacteria;p__Actinobacteria	0.0845394429021	0.0812707633973	0.0881060659064
k__Bacteria;p__Bacteroidetes	0.243332605509	0.256639938775	0.257678583922
k__Bacteria;p__Chloroflexi	2.33943666365e-05	8.69671090394e-06	7.69607500175e-05
k__Bacteria;p__Cyanobacteria	0.000842197198915	0.000347868436157	0.00156020429581
k__Bacteria;p__Firmicutes	0.453265853582	0.444697615362	0.443160987896
k__Bacteria;p__Fusobacteria	2.33943666365e-05	8.69671090394e-06	2.79857272791e-05
k__Bacteria;p__Nitrospirae	0.0	3.47868436157e-05	0.000153921500035
k__Bacteria;p__Planctomycetes	0.000101375588758	4.34835545197e-05	0.000104946477297
k__Bacteria;p__Proteobacteria	0.192566829907	0.191518967526	0.192212971385
k__Bacteria;p__SAR406	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria;p__Tenericutes	4.6788733273e-05	0.0	3.49821590989e-05
k__Bacteria;p__Verrucomicrobia	8.57793443339e-05	0.000426138834293	0.000356818022808
