Taxon	Even3	Even2	Even1
NOHIT;Other;Other	0.00178576998659	0.00180021915711	0.000251871545512
Unclassified;Other;Other	0.0809523066846	0.0750700085228	0.0796123976772
k__Archaea; p__Crenarchaeota; c__MCG	7.79812221217e-06	0.0	6.99643181977e-06
k__Archaea; p__Crenarchaeota; c__Thaumarchaeota	3.11924888487e-05	0.0	2.79857272791e-05
k__Archaea; p__Euryarchaeota; c__Thermoplasmata	0.0	8.69671090394e-06	6.99643181977e-06
k__Bacteria; p__Acidobacteria; c__Acidobacteria	0.0	4.34835545197e-05	0.000202896522773
k__Bacteria; p__Acidobacteria; c__Acidobacteria-2	0.0	2.60901327118e-05	0.00030084656825
k__Bacteria; p__Acidobacteria; c__Acidobacteria-6	5.45868554852e-05	7.82703981354e-05	4.89750227384e-05
k__Bacteria; p__Acidobacteria; c__Chloracidobacteria	9.35774665461e-05	3.47868436157e-05	6.99643181977e-06
k__Bacteria; p__Acidobacteria; c__Solibacteres	3.11924888487e-05	3.47868436157e-05	4.89750227384e-05
k__Bacteria; p__Acidobacteria; c__iii1-8	0.0	2.60901327118e-05	0.0
k__Bacteria; p__Actinobacteria; c__Acidimicrobiia	2.33943666365e-05	8.69671090394e-06	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.0847655884463	0.0813751239281	0.0881410480655
k__Bacteria; p__Actinobacteria; c__Rubrobacteria	1.55962444243e-05	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Thermoleophilia	5.45868554852e-05	6.95736872315e-05	0.0
k__Bacteria; p__Armatimonadetes; c__S1a-1H	1.55962444243e-05	0.0	0.0
k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadetes]	0.0	8.69671090394e-06	6.99643181977e-06
k__Bacteria; p__Bacteroidetes; c__Bacteroidia	0.245500483484	0.258814116501	0.257741551809
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia	0.000148164322031	0.000156540796271	0.000125935772756
k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia	0.000210549299729	0.000313081592542	0.000391800181907
k__Bacteria; p__Caldithrix; c__Caldithrixae	0.0	0.0	1.39928636395e-05
k__Bacteria; p__Chloroflexi; c__Anaerolineae	2.33943666365e-05	0.0	4.89750227384e-05
k__Bacteria; p__Chloroflexi; c__Ellin6529	0.0	8.69671090394e-06	5.59714545582e-05
k__Bacteria; p__Cyanobacteria; c__4C0d-2	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria; p__Cyanobacteria; c__Chloroplast	0.000272934277426	0.000234811194406	0.00157419715945
k__Bacteria; p__Cyanobacteria; c__Nostocophycideae	0.000444492966094	8.69671090394e-05	6.29678863779e-05
k__Bacteria; p__Cyanobacteria; c__Oscillatoriophycideae	8.57793443339e-05	0.0	0.0
k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae	4.6788733273e-05	1.73934218079e-05	2.09892954593e-05
k__Bacteria; p__Firmicutes; c__Bacilli	0.000569262921489	0.000600073052372	0.000412789477367
k__Bacteria; p__Firmicutes; c__Clostridia	0.348217349262	0.358243612266	0.333317008326
k__Bacteria; p__Firmicutes; c__Erysipelotrichi	0.0421176580679	0.0292992190354	0.0433778772826
k__Bacteria; p__Fusobacteria; c__Fusobacteria	7.79812221217e-06	0.0	2.09892954593e-05
k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes	1.55962444243e-05	0.0	0.0
k__Bacteria; p__Nitrospirae; c__Nitrospira	0.0	3.47868436157e-05	0.000209892954593
k__Bacteria; p__Planctomycetes; c__Phycisphaerae	6.23849776974e-05	1.73934218079e-05	4.89750227384e-05
k__Bacteria; p__Planctomycetes; c__Planctomycetia	3.11924888487e-05	3.47868436157e-05	5.59714545582e-05
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.000374309866184	0.000200024350791	0.000363814454628
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria	0.000304126766275	0.000408745412485	0.000489750227384
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	6.23849776974e-05	6.95736872315e-05	0.000552718113762
k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	0.193401228984	0.192162524133	0.191821171203
k__Bacteria; p__Proteobacteria; c__Zetaproteobacteria	0.0	0.0	2.09892954593e-05
k__Bacteria; p__Proteobacteria;Other	9.35774665461e-05	9.56638199433e-05	8.39571818373e-05
k__Bacteria; p__SAR406; c__AB16	7.79812221217e-06	0.0	6.99643181977e-06
k__Bacteria; p__TM6; c__SJA-4	0.0	1.73934218079e-05	0.0
k__Bacteria; p__Tenericutes; c__Mollicutes	4.6788733273e-05	0.0	3.49821590989e-05
k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae	1.55962444243e-05	0.0	0.000125935772756
k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]	7.79812221217e-06	1.73934218079e-05	7.69607500175e-05
k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]	6.23849776974e-05	0.000513105943332	0.000146925068215
k__Bacteria; p__WPS-2; c__	0.0	0.0	1.39928636395e-05
k__Bacteria; p__[Caldithrix]; c__KSB1	0.0	0.0	1.39928636395e-05
k__Bacteria;Other;Other	2.33943666365e-05	6.95736872315e-05	9.0953613657e-05
