Taxon	Even4	Even3	Even1
k__Bacteria;Other;Other;Other	0.00696650829277	0.00752160959773	0.00776869314105
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);Other	0.000845308537616	0.000574474622918	0.000584645093853
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Bifidobacteriales	0.13426803082	0.137526552751	0.127603220863
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Coriobacteriales	0.0579667900623	0.0119303683318	0.0116308940641
k__Bacteria;p__Bacteroidetes;Other;Other	0.000398363793589	0.000467595623305	0.000389763395902
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.177359333858	0.169643692135	0.170999831693
k__Bacteria;p__Firmicutes;Other;Other	0.000787011397091	0.00136270724506	0.00123129800069
k__Bacteria;p__Firmicutes;c__Bacilli;Other	9.71619008754e-06	1.33598749516e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.0	5.34394998063e-05	8.85825899778e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0406525393263	0.0480287504509	0.0382056710574
k__Bacteria;p__Firmicutes;c__Clostridia;Other	2.91485702626e-05	1.33598749516e-05	6.20078129844e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.337200376988	0.341331445138	0.379027185997
k__Bacteria;p__Proteobacteria;Other;Other	0.000728714256566	0.000708073372433	0.000602361611849
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.00158373898427	0.00175014361866	0.00169192746858
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.133053507059	0.127787203912	0.117531380382
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	3.88647603502e-05	2.67197499031e-05	8.85825899778e-06
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	0.000194323801751	0.000200398124274	8.85825899778e-05
k__Bacteria;p__Tenericutes;Other;Other	0.000174891421576	0.000160318499419	0.000124015625969
k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales	0.107742831881	0.150859707953	0.142414229907
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0	4.00796248547e-05	2.65747769933e-05
