#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
1	otu	0.0	Mock.2	Root	Incertae_sedis	Entomophthorales	Entomophthoraceae	Pandora	Pandora_neoaphidis
2	otu	0.000134422152771	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria_rubropeziza
3	otu	1.65769398797	Mock.2	Root	Saccharomycetes	Saccharomycetales	Pichiaceae	Issatchenkia	Issatchenkia_sp_YS5
4	otu	0.0625	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_commune
5	otu	0.000336055381926	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Other
6	otu	1.59773540679	Mock.2	Root	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_burtonii
7	otu	0.0187182847734	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp_JJP_2009a
8	otu	1.39251268609	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Other
9	otu	0.0	Mock.2	Root	Microbotryomycetes	Sporidiobolales	Incertae_sedis	Sporobolomyces	Sporobolomyces_lophatheri
10	otu	0.000302449843734	Mock.2	Root	Sordariomycetes	Hypocreales	Incertae_sedis	Stilbella	Stilbella_aciculosa
11	otu	0.000806532916626	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp_ela1
12	otu	6.72110763854e-05	Mock.2	Root	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Other	Other
13	otu	3.36055381927e-05	Mock.2	Root	Tremellomycetes	Other	Other	Other	Other
14	otu	0.000100816614578	Mock.2	Root	Sordariomycetes	Hypocreales	Incertae_sedis	Other	Other
15	otu	0.000134422152771	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_sp_274
16	otu	0.733205632288	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Geotrichum_sp_Po67
17	otu	0.449104412406	Mock.2	Root	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_sp_KS3_2007
18	otu	6.72110763854e-05	Mock.2	Root	Tremellomycetes	Tremellales	Tremellaceae	Bullera	Other
19	otu	0.000134422152771	Mock.2	Root	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Chaetosphaeria	Chaetosphaeria_lentomita
20	otu	1.10041334812	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_concentricum
21	otu	6.72110763854e-05	Mock.2	Root	Pezizomycetes	Pezizales	Morchellaceae	Morchella	Morchella_frustrata
22	otu	3.36055381927e-05	Mock.2	Root	Pezizomycetes	Pezizales	Morchellaceae	Morchella	Other
23	otu	0.0625	Mock.2	Root	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_rouxii
24	otu	0.0578687367678	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	Other
25	otu	0.131229626642	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Other	Other
26	otu	0.000201633229156	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_sp_MU_2009_1
27	otu	6.72110763854e-05	Mock.2	Root	Eurotiomycetes	Other	Other	Other	Other
28	otu	0.387908727358	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Other	Other
29	otu	0.000134422152771	Mock.2	Root	Agaricomycetes	Polyporales	Sistotremataceae	Trechispora	Trechispora_incisa
30	otu	6.72110763854e-05	Mock.2	Root	Eurotiomycetes	Verrucariales	Verrucariaceae	Other	Other
31	otu	0.000268844305542	Mock.2	Root	Saccharomycetes	Saccharomycetales	Incertae_sedis	Candida	Other
32	otu	0.0642537890244	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_paneum
33	otu	1.86110831065	Mock.2	Root	Other	Other	Other	Other	Other
34	otu	0.422354404006	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	Other
35	otu	0.942897889572	Mock.2	Root	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Debaryomyces	Debaryomyces_hansenii
36	otu	0.000470477534698	Mock.2	Root	Agaricomycetes	Other	Other	Other	Other
37	otu	0.59931486709	Mock.2	Root	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_jadinii
38	otu	6.72110763854e-05	Mock.2	Root	Microbotryomycetes	Sporidiobolales	Incertae_sedis	Sporobolomyces	Sporobolomyces_diospyroris
39	otu	0.000235238767349	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Fusarium_equiseti
40	otu	0.000403266458312	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_sp_GrS5
41	otu	0.00100816614578	Mock.2	Root	Sordariomycetes	Hypocreales	Niessliaceae	Rosasphaeria_moravica	Rosasphaeria_moravica
42	otu	6.72110763854e-05	Mock.2	Root	Saccharomycetes	Saccharomycetales	Incertae_sedis	Candida	Candida_famata
43	otu	0.0122660214403	Mock.2	NO_HIT	Other	Other	Other	Other	Other
44	otu	0.0	Mock.2	Root	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma_lividocyanulum
45	otu	1.8363683335	Mock.2	Root	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_lactis
46	otu	0.578103471452	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Other
47	otu	2.46577275935	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	Galactomyces_sp_BPY_54
48	otu	0.0	Mock.2	Root	Agaricomycetes	Agaricales	Other	Other	Other
49	otu	0.0031925261283	Mock.2	Root	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_unguis
50	otu	0.0	Mock.2	Root	Dothideomycetes	Hysteriales	Hysteriaceae	Hysterographium	Hysterographium_pulchrum
51	otu	0.0652619551702	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	Galactomyces_sp_24
52	otu	0.000268844305541	Mock.2	Root	Tremellomycetes	Tremellales	Tremellaceae	Bullera	Bullera_sakaeratica
53	otu	6.72110763854e-05	Mock.2	Root	Eurotiomycetes	Verrucariales	Verrucariaceae	Parabagliettoa	Parabagliettoa_dufourii
54	otu	4.64542166549	Mock.2	Root	Saccharomycetes	Saccharomycetales	Incertae_sedis	Candida	Candida_catenulata
55	otu	0.0825015962631	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Other	Other
56	otu	0.0625	Mock.2	Root	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_domesticum
57	otu	0.178243774574	Mock.2	Root	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_pseudorouxii
58	otu	4.30501226602	Mock.2	Root	Saccharomycetes	Saccharomycetales	Dipodascaceae	Galactomyces	Galactomyces_geotrichum
59	otu	6.72110763854e-05	Mock.2	Root	Eurotiomycetes	Verrucariales	Verrucariaceae	Verrucaria	Verrucaria_madida
60	otu	3.36055381927e-05	Mock.2	Root	Saccharomycetes	Saccharomycetales	Incertae_sedis	Other	Other
61	otu	0.215075444434	Mock.2	Root	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Scopulariopsis_sp_2468
62	otu	0.264206741271	Mock.2	Root	Sordariomycetes	Hypocreales	Other	Other	Other
63	otu	6.72110763854e-05	Mock.2	Root	Pucciniomycetes	Pucciniales	Pucciniastraceae	Pucciniastrum	Pucciniastrum_goeppertianum
64	otu	0.142750025204	Mock.2	Root	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	Other
65	otu	6.72110763854e-05	Mock.2	Root	Pucciniomycetes	Pucciniales	Other	Other	Other
66	otu	0.0	Mock.2	Root	Exobasidiomycetes	Microstromatales	Incertae_sedis	Jaminaea	Jaminaea_angkoriensis
67	otu	0.0430822999631	Mock.2	Root	Sordariomycetes	Other	Other	Other	Other
