#Sample	OTU	Abundance
blast_100.0	2	0.0335861276155
blast_100.0	4	0.0486021921938
blast_100.0	6	0.0184984777601
blast_100.0	8	8.42179729576e-06
blast_100.0	9	1.68435945915e-05
blast_100.0	10	0.0438607203163
blast_100.0	12	0.0365758656555
blast_100.0	16	0.0650920712989
blast_100.0	18	8.42179729576e-06
blast_100.0	19	0.00576472024895
blast_100.0	21	0.000627423898534
blast_100.0	24	8.00070743097e-05
blast_100.0	25	0.000400035371549
blast_100.0	26	1.68435945915e-05
blast_100.0	28	6.31634797182e-05
blast_100.0	31	0.00986192463334
blast_100.0	34	0.000400035371549
blast_100.0	36	0.0438859857082
blast_100.0	38	2.10544932394e-05
blast_100.0	39	1.26326959436e-05
blast_100.0	41	4.63198851267e-05
blast_100.0	44	0.00522151432337
blast_100.0	45	8.42179729576e-06
blast_100.0	50	4.21089864788e-05
blast_100.0	52	0.048635879383
blast_100.0	58	8.42179729576e-06
blast_100.0	60	1.26326959436e-05
blast_100.0	63	0.000109483364845
blast_100.0	64	1.26326959436e-05
blast_100.0	67	0.0841042786941
blast_100.0	69	8.42179729576e-06
blast_100.0	73	0.202662130125
blast_100.0	74	0.0266718320357
blast_100.0	76	0.00063584569583
blast_100.0	77	0.000193701337803
blast_100.0	79	0.0428416828435
blast_100.0	80	0.000530573229633
blast_100.0	82	3.3687189183e-05
blast_100.0	93	0.0987371514955
blast_100.0	96	5.89525810703e-05
blast_100.0	100	0.0261581024006
blast_100.0	103	0.0124305728085
blast_100.0	105	0.000821125236337
blast_100.0	108	0.00701114624872
blast_100.0	109	0.0740697072162
blast_100.0	110	0.000383191776957
blast_100.0	114	0.00266128794546
blast_100.0	115	0.00372664530337
blast_100.0	116	7.1585277014e-05
blast_100.0	121	0.0064637294245
blast_100.0	122	0.000374769979661
blast_100.0	123	0.0180689660981
blast_100.0	127	0.0251559085224
blast_100.0	132	0.00464462120861
blast_0.0001	2	0.0335861276155
blast_0.0001	4	0.0486021921938
blast_0.0001	6	0.0184984777601
blast_0.0001	8	8.42179729576e-06
blast_0.0001	9	1.68435945915e-05
blast_0.0001	10	0.0438607203163
blast_0.0001	12	0.0365758656555
blast_0.0001	16	0.0650920712989
blast_0.0001	18	8.42179729576e-06
blast_0.0001	19	0.00576472024895
blast_0.0001	21	0.000627423898534
blast_0.0001	24	8.00070743097e-05
blast_0.0001	25	0.000400035371549
blast_0.0001	26	1.68435945915e-05
blast_0.0001	28	6.31634797182e-05
blast_0.0001	31	0.00986192463334
blast_0.0001	34	0.000400035371549
blast_0.0001	36	0.0438859857082
blast_0.0001	38	2.10544932394e-05
blast_0.0001	39	1.26326959436e-05
blast_0.0001	41	4.63198851267e-05
blast_0.0001	44	0.00522151432337
blast_0.0001	45	8.42179729576e-06
blast_0.0001	50	4.21089864788e-05
blast_0.0001	52	0.048635879383
blast_0.0001	58	8.42179729576e-06
blast_0.0001	60	1.26326959436e-05
blast_0.0001	63	0.000109483364845
blast_0.0001	64	1.26326959436e-05
blast_0.0001	67	0.0841042786941
blast_0.0001	69	8.42179729576e-06
blast_0.0001	73	0.202662130125
blast_0.0001	74	0.0266718320357
blast_0.0001	76	0.00063584569583
blast_0.0001	77	0.000193701337803
blast_0.0001	79	0.0428416828435
blast_0.0001	80	0.000530573229633
blast_0.0001	82	3.3687189183e-05
blast_0.0001	93	0.0987371514955
blast_0.0001	96	5.89525810703e-05
blast_0.0001	100	0.0261581024006
blast_0.0001	103	0.0124305728085
blast_0.0001	105	0.000821125236337
blast_0.0001	108	0.00701114624872
blast_0.0001	109	0.0740697072162
blast_0.0001	110	0.000383191776957
blast_0.0001	114	0.00266128794546
blast_0.0001	115	0.00372664530337
blast_0.0001	116	7.1585277014e-05
blast_0.0001	121	0.0064637294245
blast_0.0001	122	0.000374769979661
blast_0.0001	123	0.0180689660981
blast_0.0001	127	0.0251559085224
blast_0.0001	132	0.00464462120861
blast_1e-06	2	0.0335861276155
blast_1e-06	4	0.0486021921938
blast_1e-06	6	0.0184984777601
blast_1e-06	8	8.42179729576e-06
blast_1e-06	9	1.68435945915e-05
blast_1e-06	10	0.0438607203163
blast_1e-06	12	0.0365758656555
blast_1e-06	16	0.0650920712989
blast_1e-06	18	8.42179729576e-06
blast_1e-06	19	0.00576472024895
blast_1e-06	21	0.000627423898534
blast_1e-06	24	8.00070743097e-05
blast_1e-06	25	0.000400035371549
blast_1e-06	26	1.68435945915e-05
blast_1e-06	28	6.31634797182e-05
blast_1e-06	31	0.00986192463334
blast_1e-06	34	0.000400035371549
blast_1e-06	36	0.0438859857082
blast_1e-06	38	2.10544932394e-05
blast_1e-06	39	1.26326959436e-05
blast_1e-06	41	4.63198851267e-05
blast_1e-06	44	0.00522151432337
blast_1e-06	45	8.42179729576e-06
blast_1e-06	50	4.21089864788e-05
blast_1e-06	52	0.048635879383
blast_1e-06	58	8.42179729576e-06
blast_1e-06	60	1.26326959436e-05
blast_1e-06	63	0.000109483364845
blast_1e-06	64	1.26326959436e-05
blast_1e-06	67	0.0841042786941
blast_1e-06	69	8.42179729576e-06
blast_1e-06	73	0.202662130125
blast_1e-06	74	0.0266718320357
blast_1e-06	76	0.00063584569583
blast_1e-06	77	0.000193701337803
blast_1e-06	79	0.0428416828435
blast_1e-06	80	0.000530573229633
blast_1e-06	82	3.3687189183e-05
blast_1e-06	93	0.0987371514955
blast_1e-06	96	5.89525810703e-05
blast_1e-06	100	0.0261581024006
blast_1e-06	103	0.0124305728085
blast_1e-06	105	0.000821125236337
blast_1e-06	108	0.00701114624872
blast_1e-06	109	0.0740697072162
blast_1e-06	110	0.000383191776957
blast_1e-06	114	0.00266128794546
blast_1e-06	115	0.00372664530337
blast_1e-06	116	7.1585277014e-05
blast_1e-06	121	0.0064637294245
blast_1e-06	122	0.000374769979661
blast_1e-06	123	0.0180689660981
blast_1e-06	127	0.0251559085224
blast_1e-06	132	0.00464462120861
blast_1.0	2	0.0335861276155
blast_1.0	4	0.0486021921938
blast_1.0	6	0.0184984777601
blast_1.0	8	8.42179729576e-06
blast_1.0	9	1.68435945915e-05
blast_1.0	10	0.0438607203163
blast_1.0	12	0.0365758656555
blast_1.0	16	0.0650920712989
blast_1.0	18	8.42179729576e-06
blast_1.0	19	0.00576472024895
blast_1.0	21	0.000627423898534
blast_1.0	24	8.00070743097e-05
blast_1.0	25	0.000400035371549
blast_1.0	26	1.68435945915e-05
blast_1.0	28	6.31634797182e-05
