Taxon	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1
Unassigned;Other;Other;Other;Other	0.0015600624025	0.00169443659983	0.00371747211896	0.00366568914956
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.00260010400416	0.00367127929963	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae	0.0	0.000564812199944	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	0.0213208528341	0.0220276757978	0.00681536555143	0.0058651026393
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	0.693187727509	0.714769839029	0.731102850062	0.760263929619
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.00104004160166	0.000564812199944	0.000619578686493	0.00439882697947
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	0.00208008320333	0.00367127929963	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0015600624025	0.000282406099972	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.000282406099972	0.0	0.000733137829912
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.00884035361414	0.00564812199944	0.043990086741	0.0469208211144
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0.000520020800832	0.0	0.000619578686493	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0676027041082	0.0646709968935	0.0755885997522	0.0505865102639
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	0.0104004160166	0.00818977689918	0.0824039653036	0.0762463343109
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae	0.0270410816433	0.0225924879977	0.00309789343247	0.00146627565982
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.000520020800832	0.000564812199944	0.0092936802974	0.00879765395894
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	0.100884035361	0.0957356678904	0.00309789343247	0.0124633431085
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	0.049401976079	0.0426433210957	0.0390334572491	0.0285923753666
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales;f__Deinococcaceae	0.0114404576183	0.0124258683988	0.000619578686493	0.0
