Taxon	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.1.Even1
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0458074096188	0.0444024116056	0.00379989635423	0.00335596918648
k__Bacteria;Other;Other	1.21500461268e-05	2.28026250382e-06	5.38419603858e-06	2.76552878985e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	5.90145097587e-05	9.12105001528e-05	0.0141133238661	0.0125236971248
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.000357558500302	0.000356861081848	0.0450428380097	0.0438128898531
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Caldiserica;c__OP5	8.67860437627e-07	0.0	0.0	2.76552878985e-06
k__Bacteria;p__Cyanobacteria;c__4C0d-2	1.73572087525e-06	0.0	1.34604900964e-06	5.53105757969e-06
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	1.34604900964e-06	1.38276439492e-06
k__Bacteria;p__Firmicutes;c__Bacilli	0.773597776194	0.785822923935	0.595089613213	0.592865765381
k__Bacteria;p__Firmicutes;c__Clostridia	0.01830404449	0.0182147368805	0.0272817213275	0.0241292386914
k__Bacteria;p__NC10;c__12-24	1.21500461268e-05	2.28026250382e-06	1.48065391061e-05	6.91382197462e-06
k__Bacteria;p__Proteobacteria;Other	8.67860437627e-07	0.0	4.03814702893e-06	1.38276439492e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0751818818512	0.071767841914	0.0102743920906	0.0111824156617
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.00133390149263	0.00139324038983	0.021071051197	0.0194776192669
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	3.21108361922e-05	3.07835438016e-05	3.90354212797e-05	2.07414659238e-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.00151007716147	0.00164862979026	0.0247780701695	0.0248869935798
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0831644621565	0.0755724599016	0.181953520928	0.201387189241
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	0.0	2.69209801929e-06	0.0
k__Bacteria;p__WS2;c__	1.04143252515e-05	3.42039375573e-06	0.0	0.0
k__Bacteria;p__[Thermi];c__Deinococci	0.000613577329403	0.000688639276153	0.0765269243453	0.066336739082
