Taxon	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.1.Even1
Unclassified;Other;Other;Other	0.00199260756479	0.00182991065932	0.00118048498146	0.00105643199772
k__Archaea;Other;Other;Other	9.5464648139e-06	6.84078751146e-06	0.0	2.76552878985e-06
k__Archaea;p__Euryarchaeota;Other;Other	7.02966954478e-05	6.72677438627e-05	4.03814702893e-06	1.38276439492e-06
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0455314299997	0.0441892070615	0.00378374376611	0.00333937601374
k__Bacteria;Other;Other;Other	0.010373535811	0.00896485203377	0.0104318798247	0.0090156238549
k__Bacteria;p__Actinobacteria;Other;Other	0.0	0.0	2.69209801929e-06	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	0.0	0.0	6.73024504822e-06	2.76552878985e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	5.72787888834e-05	9.00703689009e-05	0.0139302612008	0.0124282863816
k__Bacteria;p__Bacteroidetes;Other;Other	1.73572087525e-06	2.28026250382e-06	0.000352664840527	0.000298677109303
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.000330654826736	0.000339759113069	0.0433656609437	0.0422849351967
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Firmicutes;Other;Other	0.0900222953346	0.0861676996256	0.0158133837653	0.0152698672131
k__Bacteria;p__Firmicutes;c__Bacilli;Other	0.0766155872942	0.0775483073611	0.0856464063857	0.0842947002789
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0.584577772879	0.601233393988	0.42079511115	0.419194705672
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0138310917945	0.0131422929408	0.0674491698243	0.0692640513061
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.017677449254	0.0176355502045	0.0265050510489	0.0235042291849
k__Bacteria;p__Proteobacteria;Other;Other	0.0012132688918	0.00111162797061	0.000905890983491	0.000763285945998
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;Other	0.00110391847666	0.000914385264032	0.00011306811681	0.000102324565224
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	1.73572087525e-06	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	3.38465570675e-05	1.82421000306e-05	2.69209801929e-06	4.14829318477e-06
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	0.0728855231333	0.069871803642	0.00998095340651	0.0109141593691
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	8.67860437627e-07	0.0	1.07683920772e-05	4.14829318477e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	8.67860437627e-07	2.28026250382e-06	0.0	2.76552878985e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0.00129745135425	0.00136473710854	0.0207210784545	0.019180324922
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;Other	6.94288350102e-06	1.14013125191e-06	5.65340584051e-05	5.80761045868e-05
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	0.00141461251333	0.00155969955261	0.0235693181589	0.0237033472578
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.00572614316746	0.00548745171544	0.00228289912036	0.00241430663354
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.0487885102221	0.0434766250291	0.00768593984507	0.00712676769143
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.0258266587634	0.0242654134344	0.170703243305	0.190832548615
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	2.77715340041e-05	4.78855125802e-05	1.07683920772e-05	1.38276439492e-06
k__Bacteria;p__[Thermi];c__Deinococci;Other	0.0	0.0	1.34604900964e-06	1.38276439492e-06
k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales	0.000580598632773	0.0006567156011	0.0746882213981	0.0649332332212
