Taxon	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.1.Even1
Unassigned;Other;Other	0.0196310030991	0.0175717028544	0.0219298304651	0.0196808856329
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0435084473196	0.0423068503646	0.00362894813	0.00321907551138
k__Bacteria;p__Actinobacteria;c__Actinobacteria	5.55430680081e-05	8.32295813894e-05	0.0137996944469	0.0123245790519
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.000300279711419	0.000305555175512	0.0410719934313	0.040090488102
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	2.28026250382e-06	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.761951956982	0.775072626361	0.585295760619	0.584076914887
k__Bacteria;p__Firmicutes;c__Clostridia	0.0176453384178	0.0176116074482	0.0264700537747	0.0234724256038
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0729002767607	0.0698638227233	0.00998229945552	0.0109141593691
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.00129658349382	0.00136929763354	0.0207130021604	0.019180324922
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.00135559800357	0.00149243180875	0.0227226533318	0.022811464223
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0807752423717	0.0736650203171	0.179732540062	0.199321339235
k__Bacteria;p__[Thermi];c__Deinococci	0.000579730772335	0.000655575469848	0.0746532241239	0.0649083434621
