Taxon	Mock.2	Mock.1	Mock.3
Root;Eurotiomycetes;Eurotiales;Trichocomaceae	0.0602252920211	0.0661351586611	0.0646053936466
Root;Eurotiomycetes;Other;Other	0.0	1.97831763868e-05	1.59953933267e-05
Root;Other;Other;Other	0.08611046073	0.0792909709583	0.0789372660674
Root;Saccharomycetes;Saccharomycetales;Dipodascaceae	0.216394807357	0.264046055235	0.211427108993
Root;Saccharomycetes;Saccharomycetales;Incertae_sedis	0.149145399204	0.114841338925	0.133609520458
Root;Saccharomycetes;Saccharomycetales;Other	0.161138427118	0.162241829548	0.162657154739
Root;Saccharomycetes;Saccharomycetales;Pichiaceae	0.182548973699	0.161865949197	0.195367734093
Root;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	0.0517183069279	0.0466487299201	0.0418759397294
Root;Sordariomycetes;Hypocreales;Nectriaceae	0.0039543172299	0.00498536044947	0.00438273777152
Root;Sordariomycetes;Hypocreales;Other	0.0767709877989	0.0875405555116	0.0937809910746
Root;Sordariomycetes;Microascales;Microascaceae	0.0109264028721	0.0112566273641	0.0123324482549
Root;Sordariomycetes;Other;Other	0.00106662504227	0.00112764105405	0.00100770977958
