Taxon	Mock.2	Mock.1	Mock.3
Root;Eurotiomycetes;Eurotiales;Trichocomaceae	0.060277322511	0.0662538577194	0.0646853706133
Root;Other;Other;Other	5.20304898671e-05	7.91327055472e-05	6.39815733069e-05
Root;Saccharomycetes;Saccharomycetales;Dipodascaceae	0.186061031765	0.232768853367	0.170638856009
Root;Saccharomycetes;Saccharomycetales;Incertae_sedis	0.149145399204	0.114841338925	0.133609520458
Root;Saccharomycetes;Saccharomycetales;Other	0.0584042248758	0.0514758249585	0.0568476278832
Root;Saccharomycetes;Saccharomycetales;Pichiaceae	0.0541117094617	0.0457189206299	0.0538884801177
Root;Saccharomycetes;Saccharomycetales;Saccharomycetaceae	0.0517443221728	0.0466685130965	0.0418759397294
Root;Sordariomycetes;Hypocreales;Nectriaceae	0.0812456099274	0.0935348579568	0.0989794939058
Root;Sordariomycetes;Hypocreales;Other	0.000182106714535	0.000237398116642	0.000207940113247
Root;Sordariomycetes;Microascales;Microascaceae	0.0112646010562	0.0114940254807	0.0126363607281
Root;Sordariomycetes;Other;Other	0.0	3.95663527736e-05	0.0
Unassigned;Other;Other;Other	0.347511641822	0.336887710691	0.366566428868
