Taxon	Mock.3	Mock.2	Mock.1
Unknown;Other;Other;Other;Other	0.0543415664192	0.0600390370852	0.0425704559848
p__Ascomycota;Other;Other;Other;Other	0.0989090094702	0.080962914769	0.0930968967701
p__Ascomycota;c__Eurotiomycetes;Other;Other;Other	1.59969285897e-05	0.0	1.97910069664e-05
p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;Other;Other	0.0	0.0	3.95820139329e-05
p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;Other	0.000463910929102	0.000598568640208	0.000534357188094
p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium	0.0641316867162	0.0596486662329	0.0655873970868
p__Ascomycota;c__Saccharomycetes;Other;Other;Other	7.99846429486e-05	5.20494469746e-05	0.0
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;Other;Other	0.056965062708	0.0586597267404	0.0516149461685
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;Other	0.158945482467	0.149980481457	0.148808581381
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Dipodascus	0.0128135398004	0.014313597918	0.0231554781507
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae;g__Galactomyces	0.154562324034	0.164840598569	0.22207488917
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis;g__Candida	0.133606347581	0.149069616135	0.114748258391
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;Other	0.000751855643716	0.00067664281067	0.000851013299557
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Issatchenkia	0.11898515485	0.106701366298	0.0958676377454
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae;g__Pichia	0.0751855643716	0.0746389069616	0.0646770107663
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces	0.0418799590479	0.0517111255693	0.0466671944269
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygosaccharomyces	0.0148771435884	0.0158230318803	0.0168619379354
p__Ascomycota;c__Sordariomycetes;Other;Other;Other	0.000159969285897	0.000234222511386	0.000118746041799
p__Ascomycota;c__Sordariomycetes;o__Hypocreales;Other;Other	0.000831840286665	0.000884840598569	0.00118746041799
p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;Other	0.0124936012286	0.0111646063761	0.0115183660545
