Taxon	Mock.3	Mock.2	Mock.1
Unassigned;Other;Other	0.187707960072	0.203331164606	0.160762349588
p__Ascomycota;Other;Other	0.000303941643205	0.000156148340924	0.000237492083597
p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.0646595853596	0.0602472348731	0.0662602913236
p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	0.602988226261	0.6111906311	0.635449651678
p__Ascomycota;c__Sordariomycetes;Other	1.59969285897e-05	5.20494469746e-05	7.91640278657e-05
p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.000367929357563	0.00028627195836	0.000415611146295
p__Ascomycota;c__Sordariomycetes;o__Microascales	0.0125735858715	0.011216655823	0.0115381570614
p__Ascomycota;c__unidentified;o__unidentified	0.00054389557205	0.000468445022772	0.000870804306523
p__Basidiomycota;Other;Other	0.0211639365242	0.0202992843201	0.0187025015833
p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.0112458407986	0.0116070266753	0.01298290057
p__Glomeromycota;Other;Other	0.0	5.20494469746e-05	0.0
p__unidentified;c__unidentified;o__unidentified	0.0984291016125	0.0810930383865	0.0927010766308
