Taxon	MockHiSeq.even
k__Bacteria;Other;Other;Other	4.81963162794e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0405204187499
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.000766067764021
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.345357045921
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	1.52198893514e-05
k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	7.6099446757e-06
k__Bacteria;p__Firmicutes;Other;Other	5.07329645047e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.26832411262e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0912939696262
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	4.05863716037e-05
k__Bacteria;p__Firmicutes;c__Clostridia;Other	1.77565375766e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.374683236053
k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales	5.07329645047e-06
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00387092519171
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	5.07329645047e-06
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	0.000172492079316
k__Bacteria;p__Proteobacteria;Other;Other	4.3123019829e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other	7.6099446757e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	4.56596680542e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	1.01465929009e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000220688395595
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1.26832411262e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	1.01465929009e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales	8.6246039658e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.123217687541
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.000238444933172
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.000276494656551
k__Bacteria;p__Tenericutes;c__Mollicutes;o__	1.26832411262e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0189969585588
