Taxon	MockHiSeq.even
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0404975889159
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.000766067764021
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.344218090868
k__Bacteria;p__Bacteroidetes;c__Cytophagia	5.07329645047e-06
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	1.52198893514e-05
k__Bacteria;p__Firmicutes;c__Bacilli	0.0907841033329
k__Bacteria;p__Firmicutes;c__Clostridia	0.37663138189
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00388614508106
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	5.07329645047e-06
k__Bacteria;p__GN02;c__BB34	7.6099446757e-06
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.000180102023992
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	2.79031304776e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	8.6246039658e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.123922875747
k__Bacteria;p__Tenericutes;c__Mollicutes	2.02931858019e-05
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0189462255943
