Taxon	MockMiSeq.even
k__Bacteria;Other;Other;Other	2.94785248946e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Bifidobacteriales	0.0486858894724
k__Bacteria;p__Actinobacteria;c__Actinobacteria_(class);o__Coriobacteriales	0.0026614896762
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.308951785767
k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales	4.6323396263e-05
k__Bacteria;p__Firmicutes;Other;Other	8.42243568418e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	1.26336535263e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.0879133836714
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.380584601261
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae_(class);o__Victivallales	0.000400065694998
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	3.79009605788e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	0.000273729159736
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	1.26336535263e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	0.12107251296
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.000619049022787
k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales	0.00579884696855
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.0428912537217
