Taxon	Even1	Even4	Even3
k__Bacteria;Other;Other;Other;Other	0.0407423676697	0.0377725926591	0.039353864458
k__Bacteria;p__Actinobacteria;Other;Other;Other	0.000133350067459	0.000583325854797	0.000102960691896
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.000305920742995	0.000385892488558	0.000377522536951
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.1269414201	0.128026563762	0.130954560015
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.0120721031659	0.0604594812887	0.0119548803368
k__Bacteria;p__Bacteroidetes;Other;Other;Other	0.000713815066989	0.000816656196715	0.000720724843271
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	0.00243952182235	0.00240509737055	0.00252825698989
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.133946220702	0.137871309342	0.131972726857
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.0102208904647	0.0146639145652	0.0104562302659
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.00916193404663	0.013228035538	0.00956390426944
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0112327821531	0.00813066499147	0.00822541527479
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	8.62853377679e-05	0.000116665170959	0.00012584084565
k__Bacteria;p__Firmicutes;Other;Other;Other	0.00163157729597	0.00134613658799	0.00205921383792
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	7.84412161526e-06	2.69227317598e-05	2.28801537546e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other	7.84412161526e-06	8.97424391995e-06	1.14400768773e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	3.1376486461e-05	2.69227317598e-05	3.43202306319e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0364281007813	0.0397020551019	0.045508625818
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other	0.00016472655392	4.48712195997e-05	6.86404612639e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0.00556148222522	0.00463070986269	0.00521667505606
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.107888048696	0.0940500762811	0.0901020454857
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	0.00599290891406	0.00101408956295	0.004942113211
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.14952464623	0.138840527686	0.136148354917
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0.00542028803615	0.00519608722965	0.00552555713174
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.0303567506511	0.0290944987885	0.0284743513476
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.00546735276584	0.00550121152293	0.00599460028371
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]	0.0430956041542	0.0366687606569	0.0415274790647
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.143398387249	0.108740913578	0.160298357205
k__Bacteria;p__Proteobacteria;Other;Other;Other	0.00196887452543	0.00224356097999	0.00215073445294
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	0.0340356436886	0.0426725298394	0.0397885873793
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae	1.56882432305e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.0808493614885	0.0855963385085	0.0855145746579
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae	5.49088513068e-05	2.69227317598e-05	4.57603075093e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	9.41294593831e-05	9.87166831194e-05	0.000217361460669
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	7.84412161526e-06	8.97424391995e-06	1.14400768773e-05
