Taxon	Even1	Even4	Even3
k__Bacteria;Other;Other	4.70647296916e-05	6.28197074396e-05	8.00805381412e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.128039597126	0.129247060935	0.132155768087
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.0124956857331	0.0620838194382	0.0122523223356
k__Bacteria;p__Bacteroidetes;Other	1.56882432305e-05	2.69227317598e-05	2.28801537546e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.169927206551	0.179018217715	0.165549352492
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	1.79484878399e-05	0.0
k__Bacteria;p__Cyanobacteria;Other	0.0	0.0	2.28801537546e-05
k__Bacteria;p__Firmicutes;Other	4.70647296916e-05	6.28197074396e-05	8.00805381412e-05
k__Bacteria;p__Firmicutes;c__AHT28	7.84412161526e-06	8.97424391995e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.0369065921998	0.0401058960783	0.0460577495081
k__Bacteria;p__Firmicutes;c__Clostridia	0.386526936714	0.345391725747	0.350112112753
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.146881177246	0.111684465584	0.163913421498
k__Bacteria;p__Proteobacteria;Other	4.70647296916e-05	2.69227317598e-05	1.14400768773e-05
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.00016472655392	5.38454635197e-05	8.00805381412e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	2.35323648458e-05	0.0	1.14400768773e-05
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	7.84412161526e-06	8.97424391995e-06	1.14400768773e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.118854130714	0.132190612941	0.129627511097
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	7.84412161526e-06	8.97424391995e-06	1.14400768773e-05
