Taxon	Even1	Even4	Even3
k__Bacteria;Other;Other	0.000705970945374	0.000673068293996	0.00064064430513
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.127992532396	0.129148344252	0.132098567702
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.0124878416115	0.0620748451943	0.0122523223356
k__Bacteria;p__Bacteroidetes;Other	2.35323648458e-05	4.48712195997e-05	4.57603075093e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.169903674187	0.178982320739	0.165503592184
k__Bacteria;p__Firmicutes;Other	0.000321608986226	0.000197433366239	0.000423282844461
k__Bacteria;p__Firmicutes;c__Bacilli	0.036883059835	0.0400879475904	0.0460005491237
k__Bacteria;p__Firmicutes;c__Clostridia	0.386142574754	0.34512249843	0.349746030293
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.146747827178	0.111612671632	0.163753260422
k__Bacteria;p__Proteobacteria;Other	7.84412161526e-05	4.48712195997e-05	5.72003843866e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.118705092404	0.132002153819	0.129467350021
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	7.84412161526e-06	8.97424391995e-06	1.14400768773e-05
