Taxon	Even4	Even1	Even3
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__	0.0	8.85872983532e-06	1.33620171301e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__	0.0	1.77174596706e-05	1.33620171301e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Thermomonosporaceae;g__	0.0	8.85872983532e-06	1.33620171301e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__	0.000106906136412	0.000177174596706	8.01721027806e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.134905825413	0.128194679447	0.138417135451
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.059653624118	0.0120567313059	0.0123064177768
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.0	1.77174596706e-05	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BS11;g__	9.71873967384e-06	8.85872983532e-06	2.67240342602e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__	9.71873967384e-06	8.85872983532e-06	2.67240342602e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15	0.00012634361576	0.000186033326542	0.000106896137041
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.138453165394	0.137921564806	0.139018426222
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinilabiaceae;g__	1.94374793477e-05	1.77174596706e-05	2.67240342602e-05
