Taxon	Even1	Even2	Even3
Unclassified;Other;Other;Other	0.0	0.0	2.34036743769e-05
k__Archaea;Other;Other;Other	6.99976200809e-06	6.08743292953e-05	0.000132620821469
k__Archaea;p__Crenarchaeota;Other;Other	0.0	7.82669948083e-05	6.24097983383e-05
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26	6.99976200809e-06	0.0	7.80122479229e-06
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	2.09992860243e-05	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	6.99976200809e-06	0.0	2.34036743769e-05
k__Archaea;p__Crenarchaeota;c__Thermoprotei;Other	0.0	0.0	7.02110231306e-05
k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales	0.0	0.0	1.56024495846e-05
k__Archaea;p__Euryarchaeota;Other;Other	6.99976200809e-06	1.7392665513e-05	2.34036743769e-05
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	6.99976200809e-06	8.69633275648e-06	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales	6.99976200809e-06	6.95706620518e-05	0.000109217147092
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30	6.99976200809e-06	0.0	7.80122479229e-06
k__Bacteria;Other;Other;Other	0.000860970726995	0.00249584750111	0.00205952334517
k__Bacteria;p__Acidobacteria;Other;Other	6.99976200809e-06	4.34816637824e-05	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	4.89983340566e-05	3.47853310259e-05	5.4608573546e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.000223992384259	8.69633275648e-06	0.0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.000279990480324	3.47853310259e-05	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;Other	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	2.79990480324e-05	3.47853310259e-05	2.34036743769e-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	1.39995240162e-05	2.60889982694e-05	4.68073487538e-05
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	0.0	1.7392665513e-05	0.0
k__Bacteria;p__Actinobacteria;Other;Other	6.99976200809e-06	5.21779965389e-05	6.24097983383e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	8.69633275648e-06	2.34036743769e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other	2.09992860243e-05	6.08743292953e-05	6.24097983383e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.000538981674623	0.000521779965389	0.000553886960253
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0884699920203	0.0817629205764	0.0851191637087
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	0.000132995478154	0.000217408318912	0.000117018371884
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	0.0	0.0	1.56024495846e-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	3.47853310259e-05	1.56024495846e-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0	2.60889982694e-05	1.56024495846e-05
k__Bacteria;p__Armatimonadetes;c__0319-6E2;o__	0.0	0.0	1.56024495846e-05
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	6.99976200809e-06	8.69633275648e-06	0.0
k__Bacteria;p__Bacteroidetes;Other;Other	0.000118995954138	0.00046960196885	0.000421266138784
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.258788201201	0.259629014445	0.246237859344
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	4.19985720486e-05	0.0	2.34036743769e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.000125995716146	0.000156533989617	0.000140422046261
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	8.39971440971e-05	0.000104355993078	4.68073487538e-05
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.000160994526186	0.00014783765686	8.58134727152e-05
k__Bacteria;p__Caldithrix;c__Caldithrixae;o__Caldithrixales	1.39995240162e-05	0.0	7.80122479229e-06
k__Bacteria;p__Chlorobi;c__Ignavibacteria;Other	6.99976200809e-06	1.7392665513e-05	0.0
k__Bacteria;p__Chloroflexi;Other;Other	1.39995240162e-05	8.69633275648e-05	4.68073487538e-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	6.99976200809e-06	8.69633275648e-06	1.56024495846e-05
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208	4.19985720486e-05	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__envOPS12	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	5.59980960647e-05	8.69633275648e-06	0.0
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1	6.99976200809e-06	8.69633275648e-06	0.0
k__Bacteria;p__Chrysiogenetes;c__Chrysiogenetes;o__Chrysiogenales	0.0	8.69633275648e-06	7.80122479229e-06
k__Bacteria;p__Cyanobacteria;Other;Other	2.09992860243e-05	0.0	7.80122479229e-06
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	6.99976200809e-06	0.0	7.80122479229e-06
k__Bacteria;p__Cyanobacteria;c__Chloroplast;Other	1.39995240162e-05	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae	0.0	2.60889982694e-05	1.56024495846e-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles	0.00151194859375	0.000200015653399	0.000249639193353
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	2.09992860243e-05	8.69633275648e-06	0.0
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Nostocales	6.29978580728e-05	8.69633275648e-05	0.000444669813161
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Chroococcales	0.0	8.69633275648e-06	7.80122479229e-06
k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae;o__Oscillatoriales	0.0	0.0	7.80122479229e-05
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Pseudanabaenales	0.0	0.0	1.56024495846e-05
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae;o__Synechococcales	2.09992860243e-05	1.7392665513e-05	4.68073487538e-05
