Taxon	MockMiSeq.even
k__Bacteria;Other;Other	0.000109483364845
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.051326643619
k__Bacteria;p__Bacteroidetes;Other	8.42179729576e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.308928368403
k__Bacteria;p__Bacteroidetes;c__Flavobacteria	4.21089864788e-05
k__Bacteria;p__Firmicutes;Other	8.42179729576e-06
k__Bacteria;p__Firmicutes;c__Bacilli	0.0878940874772
k__Bacteria;p__Firmicutes;c__Clostridia	0.380707346755
k__Bacteria;p__Lentisphaerae;c__Lentisphaerae	0.000400035371549
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	4.21089864788e-05
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.121876039566
k__Bacteria;p__Tenericutes;c__Erysipelotrichi	0.00579840743813
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0428585264381
