Taxon	MockHiSeq.even
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	2.51716707948e-06
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.0391847399263
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Other	0.000767735959242
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella	0.000745081455527
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other	2.51716707948e-05
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	0.000103203850259
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.30839324191
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.00497895648322
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other	5.28605086691e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.0214437463501
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Other	2.51716707948e-06
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	4.27918403512e-05
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	1.51030024769e-05
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.00190046114501
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Other	2.51716707948e-06
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	2.51716707948e-06
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillus	1.51030024769e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	2.51716707948e-06
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	7.55150123845e-06
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1.00686683179e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	2.51716707948e-06
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	1.00686683179e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	1.00686683179e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.00470206810447
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	5.03433415896e-06
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Other	0.00053363942085
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0839601079361
Bacteria;Firmicutes;Bacilli;Other;Other;Other	5.28605086691e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0290657282668
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.000785356128798
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0.0036196862603
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Anaerococcus	0.013997966129
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Other	3.02060049538e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Peptoniphilus	2.51716707948e-06
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia	0.0228407740792
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	0.0644898205763
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.0911617229505
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.0649605308202
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.00507712599932
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.0406547655007
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Other	2.76888378743e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.00601854648704
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	0.00537918604885
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.000334783221571
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	2.51716707948e-06
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	0.0215570188687
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Dialister	2.51716707948e-06
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megasphaera	1.00686683179e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Other	2.51716707948e-06
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Veillonella	2.51716707948e-06
Bacteria;Firmicutes;Clostridia;Other;Other;Other	0.000158581526007
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	5.03433415896e-06
Bacteria;Firmicutes;Other;Other;Other;Other	0.00125858353974
Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Other	5.03433415896e-06
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0.000173684528484
Bacteria;Other;Other;Other;Other;Other	0.0203865361767
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Other	3.02060049538e-05
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella	7.55150123845e-06
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other	0.11845788276
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus	0.000440504238909
Bacteria;Proteobacteria;Gammaproteobacteria;Other;Other;Other	0.00230069071065
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	0.000276888378743
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter	2.51716707948e-06
Bacteria;Proteobacteria;Other;Other;Other;Other	0.000745081455527
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia	0.0187302402384
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Other	1.76201695564e-05
Unclassified;Other;Other;Other;Other;Other	5.03433415896e-06
