Taxon	Mock.even.phasedmiseq
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae	0.0412304172483
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.315098107647
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	0.0214731658136
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0.0726015976423
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.0349193423298
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI	0.0169264774314
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV	0.0314196525516
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	0.285161703118
Bacteria;Firmicutes;Clostridia;Clostridiales;Other	0.0521754304328
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	0.0238676903986
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae	0.105126415387
