Taxon	Mock.even.phasedmiseq
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.0397056873923
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Other	0.000326334145769
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella	0.00148889954007
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Other	1.01979420553e-05
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	2.03958841106e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.277659368339
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.00556297739116
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Other	1.01979420553e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.0221703260282
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	4.07917682212e-05
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.00908126740024
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	1.01979420553e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.00345710235674
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	2.54948551382e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.000152969130829
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Other	0.00239141741197
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0883243761409
Bacteria;Firmicutes;Bacilli;Other;Other;Other	2.03958841106e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0339081573339
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.000499699160709
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0.00245770403533
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Anaerococcus	0.0155110698661
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Other	0.000188661928023
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Mogibacterium	5.09897102765e-06
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia	0.0262851956475
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	0.0774227760838
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.0860808288887
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.0729764733477
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.00602698375468
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.0594591011534
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.00589441050796
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	0.0037987334156
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.00512956485381
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	0.000311037232686
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	0.0232513078861
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megasphaera	5.09897102765e-06
Bacteria;Firmicutes;Clostridia;Other;Other;Other	3.05938261659e-05
Bacteria;Firmicutes;Other;Other;Other;Other	0.00105548700272
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0.00043341253735
Bacteria;Other;Other;Other;Other;Other	0.00555277944911
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas	5.09897102765e-06
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella	0.0144861766895
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	0.00373244679224
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other	0.100745469564
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Pantoea	5.09897102765e-06
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus	0.000438511508378
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia	6.11876523318e-05
Bacteria;Proteobacteria;Gammaproteobacteria;Other;Other;Other	0.000367125913991
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1.52969130829e-05
Bacteria;Proteobacteria;Other;Other;Other;Other	0.000209057812134
Bacteria;Verrucomicrobia;Other;Other;Other;Other	5.09897102765e-06
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia	0.00318685689228
