Taxon	Mock.even.phasedmiseq
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	0.0398533470564
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Other	0.000322595511314
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella	0.00149520459212
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	1.53616910149e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.278553543174
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.00535098903687
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.0221976435166
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	4.09645093732e-05
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.00860254696837
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	1.02411273433e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.00347174216938
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Other	2.04822546866e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.000138255219135
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Other	0.00237594154365
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0886932833566
Bacteria;Firmicutes;Bacilli;Other;Other;Other	1.02411273433e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0340466278528
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.000476212421463
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0.00246811168973
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Anaerococcus	0.0155613929981
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Other	0.000184340292179
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia	0.0263606617816
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	0.0777199154083
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.0863685474497
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.0729424295026
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia	0.00602178287786
Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other	0.0591527515349
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus	0.00589888934974
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium	0.00375337317132
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.00512568423532
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	0.000312354383971
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum	0.0233190469607
Bacteria;Firmicutes;Clostridia;Other;Other;Other	1.02411273433e-05
Bacteria;Firmicutes;Other;Other;Other;Other	0.00096266597027
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;Victivallaceae;Victivallis	0.00043524791209
Bacteria;Other;Other;Other;Other;Other	0.00429615292051
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella	0.0145372802638
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	0.00373289091663
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other	0.10111065026
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus	0.000440368475762
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia	6.14467640598e-05
Bacteria;Proteobacteria;Gammaproteobacteria;Other;Other;Other	0.000240666492568
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	1.53616910149e-05
Bacteria;Proteobacteria;Other;Other;Other;Other	0.000107531837105
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia	0.00318499060377
