Taxon	HMPMockV1.1.Even1	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0.00386039300066	0.00399125724603	0.0757842643852	0.0723662169159
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Other	3.16425655792e-05	9.50299344293e-05	0.000545210535145	0.000609143240033
Archaea;Euryarchaeota;Other;Other;Other;Other	0.0	0.0	8.38785438685e-05	9.13714860049e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.0024364775496	0.00414964047008	0.000125817815803	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Other	3.16425655792e-05	0.0	0.0	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	0.000696136442743	0.000823592765054	0.0	3.04571620016e-05
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	6.32851311584e-05	6.33532896196e-05	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.01037876151	0.0104216161424	0.000167757087737	0.000152285810008
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.000949276967377	0.000981975989103	0.0	3.04571620016e-05
Bacteria;Bacteroidetes;Other;Other;Other;Other	0.00224662215612	0.00256580822959	0.0	0.000121828648007
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.0202512419707	0.0245177230828	0.000209696359671	0.000243657296013
Bacteria;Deinococcus-Thermus;Deinococci;Other;Other;Other	9.49276967377e-05	9.50299344293e-05	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Other	6.32851311584e-05	0.000158383224049	8.38785438685e-05	0.000121828648007
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0.00670822390279	0.00899616712598	0.000796846166751	0.000700514726038
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Other	0.0	0.000158383224049	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	0.0104104040756	0.0102949095632	0.013378627747	0.0140102945208
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Other	0.000126570262317	9.50299344293e-05	0.000712967622882	0.000487314592026
