Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0.0478689278288	0.0041409905453	0.0465923526991	0.0036296733983
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Other	0.00015882469724	8.48563636333e-06	0.000119742841924	1.2058715609e-05
Archaea;Euryarchaeota;Other;Other;Other;Other	0.0	0.0	1.37635450488e-06	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	2.50775837748e-05	0.0101148785451	3.85379261366e-05	0.00907159948527
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae;Rhodococcus	0.0	0.0	1.37635450488e-06	5.16802097527e-06
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	0.0	3.5639672726e-05	0.0	1.2058715609e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	8.3591945916e-06	0.000106919018178	1.37635450488e-06	0.000101637745847
Bacteria;Actinobacteria;Actinobacteria;Other;Other;Other	0.0	1.69712727267e-06	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.000273763622875	0.0426538997439	0.000271141837461	0.0412821515505
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other;Other	0.0	1.69712727267e-05	1.37635450488e-06	1.37813892674e-05
Bacteria;Bacteroidetes;Other;Other;Other;Other	1.04489932395e-06	3.22454181806e-05	0.0	3.96214941438e-05
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.000441992414031	0.0662456659612	0.000477595013192	0.0576010391168
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Other	5.43347648454e-05	6.78850909066e-05	6.05595982146e-05	6.71842726786e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Viridibacillus	1.04489932395e-05	2.0365527272e-05	4.12906351463e-06	3.27307995101e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0.00142942227516	0.0252617394536	0.00123596634538	0.0240674736819
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	0.0110748879345	0.0164994713449	0.0106818873124	0.0162189724941
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus	1.04489932395e-06	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Other	0.000121208321578	0.000429373199984	0.000121119196429	0.000320417300467
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.668049068472	0.497954113073	0.687289503783	0.494105872078
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	9.71756371274e-05	0.0107784553087	0.000150022641032	0.010515200011
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.000180767583043	0.00358602992714	0.000151398995536	0.00250993552032
