Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1
Archaea;Euryarchaeota;Methanobacteria	0.0479040215436	0.004153579811	0.0465912690125	0.00363178488178
Bacteria;Actinobacteria;Actinobacteria	2.5246415535e-05	0.0101068161134	3.87269349982e-05	0.00906905594406
Bacteria;Bacteroidetes;Bacteroidia	0.000262983495156	0.0426853885684	0.000271088544988	0.0412903069153
Bacteria;Deinococcus-Thermus;Deinococci	0.000444968073804	0.0664795160772	0.000474404953728	0.0577252608503
Bacteria;Firmicutes;Bacilli	0.783135394423	0.624280650613	0.795599237079	0.61903027528
Bacteria;Firmicutes;Clostridia	0.0171738741677	0.0269452370688	0.0170661303908	0.0240766178266
Bacteria;Other;Other	0.000143063021365	0.000109484805562	0.000138310482137	0.000114468864469
Bacteria;Proteobacteria;Alphaproteobacteria	0.0693718902202	0.00977836169674	0.0658247246584	0.0106594794095
Bacteria;Proteobacteria;Betaproteobacteria	0.00118237379422	0.020235871328	0.00123096329101	0.0186792374292
Bacteria;Proteobacteria;Epsilonproteobacteria	0.00031978793011	0.00571202759017	0.000352691729448	0.00551705239205
Bacteria;Proteobacteria;Gammaproteobacteria	0.0800363969157	0.189513066327	0.0724124529226	0.210206460206
