Taxon	HMPMockV1.1.Even1	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae	0.00335851295891	0.0456656078645	0.0443281160266	0.00379848383693
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae	0.0122306308001	4.93607351805e-05	8.31821620981e-05	0.0137644563134
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardiaceae	4.1497277087e-06	0.0	1.13948167258e-06	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other	5.94794304914e-05	0.0	1.13948167258e-06	0.000103643960115
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae	0.000125875073831	7.79380029166e-06	3.41844501773e-06	0.000106336011027
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	0.042332755599	0.000330803523491	0.00033614709341	0.0433487498116
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Other	0.000558829998105	6.06184467129e-06	5.69740836288e-06	0.000662244524368
Bacteria;Bacteroidetes;Other;Other;Other	0.000272498786205	6.06184467129e-06	4.55792669031e-06	0.000333814313096
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	0.0653637443823	0.000587132955305	0.000655201961732	0.0752737815778
Bacteria;Deinococcus-Thermus;Deinococci;Other;Other	4.1497277087e-05	0.0	1.13948167258e-06	4.57648655051e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae	3.45810642392e-05	1.81855340139e-05	7.97637170804e-06	2.55744836646e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	0.0228152029424	0.00143319327586	0.00122950072471	0.0237600413499
Bacteria;Firmicutes;Bacilli;Bacillales;Other	0.0166874383593	0.0126043070272	0.0122311962734	0.0172102814808
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae	0.459947519777	0.642080979317	0.661123847984	0.460687980531
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae	0.0100852215747	0.000104783315032	0.000164085360851	0.0103267072987
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.00294354018804	0.000219958363787	0.000169782769214	0.00411614584455
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other	0.00047998517164	0.00127731727002	0.00111897100247	0.000589559149743
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	0.0720378897805	0.10207540242	0.0977515747637	0.0693633838003
Bacteria;Firmicutes;Bacilli;Other;Other	0.00395469050639	0.00492568178433	0.00466275900418	0.00429382120475
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	0.0236797295484	0.0178036377996	0.0177565429038	0.026726681455
Bacteria;Firmicutes;Clostridia;Clostridiales;Other	0.000124491831261	0.000115175048755	0.000119645575621	0.000148062800164
