Taxon	HMPMockV1.2.Staggered1	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1
Archaea;Crenarchaeota;Thermoprotei;Other	0.0	0.0	1.30546769033e-06	0.0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales	0.0435341445908	0.044761680456	0.00370100090208	0.00329238388792
Archaea;Euryarchaeota;Other;Other	1.33540320831e-05	2.70131782102e-05	2.61093538065e-06	1.34657827727e-06
Archaea;Other;Other;Other	3.33850802077e-06	6.75329455254e-06	1.30546769033e-06	0.0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales	0.000102380912637	6.16238127919e-05	0.0140899127817	0.0125393369179
Bacteria;Actinobacteria;Actinobacteria;Other	1.11283600692e-06	0.0	1.56656122839e-05	1.61589393272e-05
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales	0.000352769014194	0.000352015478551	0.0439041838934	0.0428723591917
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales	0.0	0.0	0.0	1.34657827727e-06
Bacteria;Bacteroidetes;Other;Other	1.11283600692e-05	1.09741036479e-05	0.000808084500313	0.000721765956616
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales	3.33850802077e-06	0.0	0.0	0.0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales	0.000657686080091	0.000585004140614	0.073895998611	0.0643745211231
Bacteria;Deinococcus-Thermus;Deinococci;Other	3.33850802077e-06	8.44161819067e-07	8.87718029423e-05	6.46357573089e-05
Bacteria;Firmicutes;Bacilli;Bacillales	0.66017215573	0.640936614422	0.487475995713	0.486915972169
Bacteria;Firmicutes;Bacilli;Lactobacillales	0.0969825451672	0.101014091593	0.0837326976576	0.085136065002
Bacteria;Firmicutes;Bacilli;Other	0.0080702867222	0.0086906459273	0.00725970582591	0.00668710772492
Bacteria;Firmicutes;Clostridia;Clostridiales	0.0179311265795	0.0179502569206	0.0267098689441	0.0237118968844
Bacteria;Firmicutes;Clostridia;Other	1.78053761107e-05	1.51949127432e-05	3.13312245679e-05	2.15452524363e-05
Bacteria;Firmicutes;Other;Other	0.00483304677806	0.00492484005244	0.0029960483493	0.00276991151634
Bacteria;Other;Other;Other	0.0163308684016	0.0192181879729	0.0188209276915	0.0157361137482
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales	0.0	1.68832363813e-06	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Other	0.00103827599446	0.00113455348483	0.000156656122839	0.000162935971549
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	2.55952281592e-05	3.7143120039e-05	5.22187076131e-06	4.03973483181e-06
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	0.0700663806678	0.0730284389675	0.00996463488027	0.0108857387934
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	2.22567201384e-06	8.44161819067e-07	0.0	5.38631310907e-06
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	0.00137991664858	0.00131267162865	0.020635527781	0.0191847007162
Bacteria;Proteobacteria;Betaproteobacteria;Other	1.22411960761e-05	1.01299418288e-05	0.000134463172104	0.000119845466677
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	0.001606935194	0.00147221821245	0.0240480203235	0.024297658435
Bacteria;Proteobacteria;Epsilonproteobacteria;Other	2.33695561454e-05	2.61690163911e-05	0.000345948937937	0.000332604834485
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales	0.0484295101852	0.0540069406985	0.00843984861797	0.00787613634374
Bacteria;Proteobacteria;Gammaproteobacteria;Other	0.00114733392314	0.0012172813431	0.00138640668713	0.00116882994467
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	3.33850802077e-06	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	0.0249097211789	0.0263581086386	0.167795678641	0.188149303213
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	4.67391122907e-05	2.78573400292e-05	1.17492092129e-05	2.69315655454e-06
Bacteria;Proteobacteria;Other;Other	0.00105051719053	0.00116578747213	0.00219710212282	0.00190406168406
Unclassified;Other;Other;Other	0.0012374736397	0.00164442722354	0.00134332625335	0.00104359816488
