Taxon	HMPMockV1.2.Staggered2	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered1
Archaea;Euryarchaeota;Methanobacteria	0.0635428876988	0.00519126254392	0.00468529184855	0.0648932502073
Bacteria;Actinobacteria;Actinobacteria	4.98621697867e-05	0.0110860706743	0.010283256588	5.41670161313e-05
Bacteria;Bacteroidetes;Bacteroidia	0.000375255812274	0.0422491603659	0.039263472977	0.000337233358495
Bacteria;Deinococcus-Thermus;Deinococci	0.00052011401243	0.0633393389909	0.054378904707	0.000489832909316
Bacteria;Firmicutes;Bacilli	0.780217871891	0.596015759961	0.583433988794	0.786583121325
Bacteria;Firmicutes;Clostridia	0.0154740366392	0.0233323507529	0.0223640509557	0.0152413169691
Bacteria;Other;Other	0.00625598292307	0.00324723725136	0.00268311569412	0.00585819191665
Bacteria;Proteobacteria;Alphaproteobacteria	0.0615999824623	0.0082981954022	0.0092978550761	0.0602267326456
Bacteria;Proteobacteria;Betaproteobacteria	0.00113823297927	0.0185485105812	0.0173001424625	0.00113983710289
Bacteria;Proteobacteria;Epsilonproteobacteria	0.00124827362983	0.0215589841692	0.0214478129363	0.00122662081691
Bacteria;Proteobacteria;Gammaproteobacteria	0.0695774997819	0.207133129307	0.234862107961	0.0639496957328
