Taxon	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1	HMPMockV1.1.Even2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter	0.0576963448175	0.0589275205683	0.00432366162648	0.00479203866996
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	3.27739615305e-05	3.36618772628e-05	0.00910131143887	0.009634973753
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Other;Other	0.0	1.20220990224e-06	7.43024854181e-05	9.96721422724e-05
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium	4.87180509236e-06	6.01104951121e-06	8.54478582309e-05	0.000110982456289
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.000260863018128	0.000241644190351	0.0361489021808	0.0381503960731
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.000461049918287	0.000456238657901	0.0540632314151	0.0625113986758
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Other	6.20047920846e-06	5.40994456009e-06	1.04023479585e-05	2.19137334074e-05
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0.00150583066491	0.0012064176369	0.0228547014898	0.0238379005795
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	0.0183906213323	0.0179327640068	0.0216235093064	0.0225103524718
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Other	0.00374730389877	0.00387412140998	0.00264145335661	0.00261056185399
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.658653433072	0.673063825925	0.471942638481	0.483750613231
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0.000156340654328	0.000133445299149	0.00992086785303	0.0105306092442
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1.3286741161e-06	1.20220990224e-06	4.68105658134e-05	5.01895184492e-05
Bacteria;Firmicutes;Bacilli;Lactobacillales;Other;Other	0.00117454791863	0.00107657896746	0.00145335661478	0.00181601229431
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0.0842512257019	0.0808299816723	0.0422409629602	0.0407567165593
Bacteria;Firmicutes;Bacilli;Other;Other;Other	0.00744766131211	0.00688265169034	0.00511869822046	0.00598032853635
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.0140387707107	0.0138897321056	0.0211145372813	0.0216846995486
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Other	0.00068825319214	0.000672035335353	0.000685811940409	0.000844739078125
Bacteria;Firmicutes;Other;Other;Other;Other	0.00167811540863	0.001500357958	0.000972619534123	0.00112749692854
Bacteria;Other;Other;Other;Other;Other	0.00922985619317	0.0063554826482	0.00388750603708	0.00551448497778
Bacteria;Proteobacteria;Alphaproteobacteria;Other;Other;Other	3.10023960423e-05	1.74320435825e-05	1.48604970836e-06	7.06894626046e-07
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	2.25874599737e-05	2.94541426049e-05	5.94419883345e-06	3.53447313023e-06
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Other	0.00345588137597	0.0032688087242	0.000460675409592	0.000448171192913
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	0.0601008020763	0.05909162222	0.00928038042873	0.00830601185604
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria	0.000995176912959	0.000999637533714	0.0156696511498	0.0166084892389
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Other	5.22611818999e-05	5.53016555031e-05	0.000626369952075	0.000649636161336
Bacteria;Proteobacteria;Betaproteobacteria;Other;Other;Other	2.6573482322e-06	1.20220990224e-06	2.15477207713e-05	2.96895742939e-05
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter	0.00115461780689	0.00113067841306	0.0201500910205	0.0204009789077
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia/Shigella	0.0459278352798	0.0413121399757	0.00703867444366	0.00772494447343
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other	0.000168741612745	0.000128035354589	2.82349444589e-05	3.81723098065e-05
Bacteria;Proteobacteria;Gammaproteobacteria;Other;Other;Other	0.00095620247222	0.000803076214698	0.00276553850726	0.00301207800158
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	0.00957575435473	0.00911575658375	0.208366459858	0.179218994541
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Other;Other	7.57344246177e-05	7.27336990857e-05	0.000228108630234	0.000218430439448
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Other	0.000494709662561	0.000476676226239	0.000118883976669	0.000162585763991
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0.0156234360398	0.015027623778	0.0262124308058	0.0258963777306
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	3.01166132983e-05	3.60662970673e-05	3.71512427091e-06	1.13103140167e-05
Bacteria;Proteobacteria;Other;Other;Other;Other	0.00126711221539	0.00104952924466	0.000562469814615	0.000612877640782
Unclassified;Other;Other;Other;Other;Other	0.000639978032588	0.000293940321098	0.000148604970836	0.000320930160225
