Taxon	HMPMockV1.1.Even2	HMPMockV1.2.Staggered2	HMPMockV1.2.Staggered1	HMPMockV1.1.Even1
Archaea;Euryarchaeota;Methanobacteria	0.00110306790762	0.0188971047394	0.0160883751507	0.00140748187735
Bacteria;Actinobacteria;Actinobacteria	0.00881432966921	1.89671372462e-05	4.03318504656e-05	0.00809037515212
Bacteria;Bacteroidetes;Bacteroidia	0.0276686200161	0.000141524024068	0.00012906192149	0.0162918672946
Bacteria;Deinococcus-Thermus;Deinococci	0.052699579966	0.000255326847545	0.000316605026155	0.0414942589555
Bacteria;Firmicutes;Bacilli	0.69645205357	0.876106659508	0.879696139839	0.690973067358
Bacteria;Firmicutes;Clostridia	0.0247832803503	0.0151780868286	0.0153402193246	0.0246335784962
Bacteria;Proteobacteria;Alphaproteobacteria	0.00644732978411	0.0436842350991	0.0451414236337	0.00772527646965
Bacteria;Proteobacteria;Betaproteobacteria	0.0159051157328	0.000872488313325	0.000909483228	0.0157733213398
Bacteria;Proteobacteria;Epsilonproteobacteria	0.0166277273482	0.000854980186637	0.000875201155104	0.0170564580137
Bacteria;Proteobacteria;Gammaproteobacteria	0.149498895655	0.0439906273162	0.0414631588712	0.176554315043
