Taxon	HMPMockV1.2.Staggered1	HMPMockV1.1.Even2	HMPMockV1.1.Even1	HMPMockV1.2.Staggered2
Archaea;Euryarchaeota;Methanobacteria	0.0639195571352	0.00509359041919	0.00459835171662	0.0623561698394
Bacteria;Actinobacteria;Actinobacteria	6.37987347525e-05	0.0115952444228	0.0107255760019	5.97412457294e-05
Bacteria;Bacteroidetes;Bacteroidia	0.000281730695943	0.0386551465796	0.0364354836483	0.000309907712221
Bacteria;Deinococcus-Thermus;Deinococci	0.000608628637728	0.0690133093523	0.0583801543368	0.000675407972552
Bacteria;Firmicutes;Bacilli	0.782687959259	0.588029315273	0.576693493836	0.775070890871
Bacteria;Firmicutes;Clostridia	0.0159016934894	0.0239507262216	0.0227764049752	0.0161633259279
Bacteria;Firmicutes;Other	0.000806235338289	0.000504875590727	0.000414831789506	0.00102804727026
Bacteria;Other;Other	0.00141655774774	0.00219104310416	0.0017987548144	0.00202373469908
Bacteria;Proteobacteria;Alphaproteobacteria	0.0638535000381	0.00878496523376	0.00973991910435	0.0657427517067
Bacteria;Proteobacteria;Betaproteobacteria	0.00118451102222	0.018875979293	0.017630696172	0.00117988960316
Bacteria;Proteobacteria;Epsilonproteobacteria	0.00137421345476	0.0233659282401	0.0231470616657	0.00139313266083
Bacteria;Proteobacteria;Gammaproteobacteria	0.0676187545697	0.209753390691	0.237561948674	0.0735813009901
Unclassified;Other;Other	0.000282859877089	0.000186485578557	9.7323265092e-05	0.000415699501534
