Taxon	Even3
Root;k__Bacteria;Other;Other;Other;Other	0.0257276443661
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;Other;Other	0.00026927125407
Root;k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0672688551076
Root;k__Bacteria;p__Bacteroidetes;Other;Other;Other	0.000563021713055
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	0.0210276370223
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.228488898681
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.0268536877922
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.00991407799075
Root;k__Bacteria;p__Firmicutes;Other;Other;Other	0.0258255611858
Root;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.0376490171599
Root;k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other	0.00337813027833
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other	0.0817605444175
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0158135663754
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis	0.0258989988005
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	0.251034246408
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.00680521896649
Root;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	0.00362292232748
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other	0.112163716922
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae	0.0182614868669
Root;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae	0.000342708868816
Root;k__Bacteria;p__Tenericutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.037330787496
