#OTU ID	taxonomy	confidence	num hits
EU057948	Root;Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Aureobasidium;Aureobasidium_pullulans	1.00	1
AB458597	Root	1.00	3
AB073527	Root;Basidiomycota;Agaricomycetes;Agaricales;Lyophyllaceae;Termitomyces	1.00	2
EU254804	Root;Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Gnomonia	1.00	2
JF514521	Root;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Agaricus	1.00	2
AF291284	Root;Basidiomycota;Tremellomycetes;Tremellales;Exidiaceae	1.00	3
FJ797880	Root;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber;Tuber_umbilicatum	1.00	2
AY061682	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula_ilicis	1.00	1
AY061687	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	1.00	2
EF601602	Root	1.00	3
HM005148	Root;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Protoxerula_flavo_olivacea;Protoxerula_flavo_olivacea	1.00	3
FJ441622	Root;Ascomycota;Sordariomycetes;Diaporthales;Valsaceae;Phomopsis;Phomopsis_phyllanthicola	1.00	1
HM005144	Root;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Paraxerula_hongoi;Paraxerula_hongoi	1.00	1
GQ165696	Root;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Phaeocollybia;Phaeocollybia_radicata	1.00	2
AY789285	Root;Ascomycota;Leotiomycetes;Helotiales	1.00	3
AJ972815	Root;Ascomycota;Eurotiomycetes;Incertae_sedis;Incertae_sedis;Sarcinomyces	1.00	3
GQ203786	Root;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Preussia	1.00	3
DQ286765	Root;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Sclerostagonospora	1.00	2
DQ389694	Root;Basidiomycota;Agaricomycetes;Agaricales;Psathyrellaceae;Psathyrella;Psathyrella_larga	1.00	1
EU712012	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	1.00	3
EU712011	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula	1.00	3
HM562113	Root;Basidiomycota;Agaricomycetes;Agaricales;Pluteaceae;Pluteus	1.00	2
DQ102438	Root;Basidiomycota;Agaricomycetes;Cantharellales;Ceratobasidiaceae;Thanatephorus;Rhizoctonia_solani	1.00	3
EU825963	Root;Basidiomycota;Agaricomycetes	1.00	3
JN573668	Root;Ascomycota;Dothideomycetes;Incertae_sedis;Incertae_sedis;Peltaster	1.00	2
FJ839635	Root;Ascomycota	1.00	3
AB509792	Unassigned	1.00	1
DQ974730	Root;Ascomycota;Pezizomycetes;Pezizales;Helvellaceae;Balsamia;Balsamia_sp_src395	1.00	1
HQ897790	Root	1.00	3
EU860055	Root;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	1.00	3
AJ005369	Root;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Chrysosporium	1.00	2
EU334802	Root;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	1.00	3
FJ548834	Root;Ascomycota;Eurotiomycetes;Eurotiales	1.00	3
FJ786401	Root;Ascomycota;Dothideomycetes	1.00	3
GU234147	Root;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius	1.00	2
AF518759	Root;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Polyporus	1.00	2
